COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",EURO_PERIOD_FULL,EURO_PERIOD_CRISIS_EXCLUDED,IS_CRISIS_YEAR,EURO_PERIOD
"Estonia, Republic of",1999,1,% of GDP (annualized),5771000000,0.15477889095126648,22.428506429613417,14.090851252421896,6.369325551107099,-0.4041172329660076,5.965208318141093,7.131275654150151,2.798462070157464,1.3253253588528053,14.633323892733399,15.958649251586207,-6.976496763198885,-9.993440933445116,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",1999,2,% of GDP (annualized),5771000000,1.1866089275889815,0.23610378977688384,-1.767499204024171,-0.3607141232702392,-0.31761581243795084,-0.6783299357081901,7.558600492162737,1.357128331316731,-3.5518629644609794,2.814038621408216,-0.7378243430527617,-6.371991564573758,0.05949440734457191,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",1999,3,% of GDP (annualized),5771000000,3.021753796472408,-4.090932591350901,-2.8958860929919243,1.13420270073557,-0.026009562342830438,1.1081931383927395,3.5131487421637395,0.6962202491411216,-1.5661472182147185,1.0701077078193098,-0.49603951039540906,-0.49139494569133224,1.604232648788149,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",1999,4,% of GDP (annualized),5771000000,2.8190766244956906,-10.92754526387672,-5.700267716807103,2.921220416014875,-0.14907472275772873,2.7721456932571464,4.385281427789853,8.19910975167508,-1.897021857808999,-2.204373446704563,-4.101395304513561,-1.5662048032941622,6.873540997770708,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2000,1,% of GDP (annualized),5707000000,2.741780362491984,3.344476433136606,3.0037451744021273,-1.8222484720371186,-0.46242099399679204,-2.2846694660339106,6.032270803984947,-4.497210107166887,-1.6014369160520476,0.3956022666345761,-1.2058346494174719,-3.290490441492962,-1.0788348166164388,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2000,2,% of GDP (annualized),5707000000,2.71349857284711,11.959152611708772,9.478407079050337,-5.370901988526446,0.019675167066308882,-5.351226821460139,5.223966166392949,3.722792781291169,7.0947815199958075,0.5630446745571372,7.65782619455295,-2.5104675935458376,-13.009053016013086,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2000,3,% of GDP (annualized),5707000000,0.49860855428827694,4.319247273123245,2.9466549440012075,3.457830055348782,0.46780022085257855,3.9256302762013613,8.629576344462471,4.924063503203009,-0.7276441910141931,0.3721322380785677,-0.35551195293562515,-8.130967790174193,4.281142229136987,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2000,4,% of GDP (annualized),5707000000,0.5174241471968214,-7.941623592566413,-10.035069521443246,2.8888541551545637,-0.26825074297863805,2.620603412175926,9.28638130845642,1.2306830167713712,2.5298887197027433,-3.326854279756839,-0.7969655600540957,-8.768957161259596,3.4175689722300215,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2001,1,% of GDP (annualized),6265000000,2.975091491843869,19.86396425706978,15.540189744414107,1.860798199711846,-1.6256548063096203,0.23514339340222606,14.173418770263662,-1.699890781470259,5.479519364522065,-0.007159814863208804,5.472359549658856,-11.198327278419793,-5.237216156256631,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2001,2,% of GDP (annualized),6265000000,5.184728256740234,5.702132066278847,1.2503925397183144,3.2148878578907483,0.0210239839964037,3.235911841887152,6.11120890742921,6.442247570694615,-1.3134644917075258,1.790958365524152,0.47749387381662634,-0.9264806506889763,2.7584179680705256,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2001,3,% of GDP (annualized),6265000000,4.823679854086098,-4.351695523940688,-4.165806310837264,1.858166001295548,0.11218704462687074,1.9703530459224188,7.761600776806608,-2.360284715596397,-0.5318900335869436,-0.5217242172453502,-1.0536142508322939,-2.9379209227205108,3.0239672967547127,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2001,4,% of GDP (annualized),6265000000,3.007313259833117,-7.150730763201099,1.3791896109578632,1.5678092344018766,0.5779217532267119,2.1457309876285886,9.807854877182738,1.4073363377121066,-0.2639212560592575,0.772755589071011,0.508834333011754,-6.8005416173496185,1.6368966546168346,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2002,1,% of GDP (annualized),7393000000,1.7498482354533575,2.1381981297041808,3.2501945482147345,3.5027280860062544,0.016370721537505423,3.5190988075437586,6.94937129267105,5.267128073937394,-0.8288435682137005,0.9070592377817821,0.07821566956808149,-5.199523057217695,3.4408831379756775,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2002,2,% of GDP (annualized),7393000000,2.9822590965548543,2.1344925951821403,-0.9071196783688559,0.5160869828648565,-0.23646051797928547,0.2796264648855712,3.515802896183282,4.25597192695871,4.851725473599138,1.6409407757757128,6.492666249374852,-0.533543799628428,-6.213039784489279,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2002,3,% of GDP (annualized),7393000000,3.2923588223646245,-9.451378517532737,-9.868916123012827,5.708160684690415,0.1781675124361317,5.886328197126552,3.18763440665789,-4.5748929004354055,12.003186114542599,-0.3522548528317413,11.650931261710856,0.10472441570673388,-5.76460306458431,Pre-Euro,Pre-Euro,False,Pre-Euro
"Estonia, Republic of",2002,4,% of GDP (annualized),7393000000,2.0205188241202947,2.444962685992508,9.057223826732011,0.6752358747958935,0.02628992135475815,0.7015257961506518,4.647435439489155,13.666953984278157,-0.2501001728880282,0.6904563555802272,0.44035618269219906,-2.6269166153688603,0.26116961345845274,Pre-Euro,Pre-Euro,False,Pre-Euro
