COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,1999-Q1,-1931419800,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,1999-Q2,-1255611822,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,1999-Q3,2290069600,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,1999-Q4,-87191612.31,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2000-Q1,3550241855,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2000-Q2,-915467617.7,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2000-Q3,-917911800,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2000-Q4,5479851317,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2001-Q1,-2017226141,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2001-Q2,1800876619,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2001-Q3,-69441120,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2001-Q4,1320526184,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2002-Q1,1719006274,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2002-Q2,4991016444,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2002-Q3,-1356593339,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2002-Q4,-5334597025,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2003-Q1,2913569929,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2003-Q2,3887087423,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2003-Q3,6979139561,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2003-Q4,-5053190234,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2004-Q1,8641848375,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2004-Q2,-1408186678,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2004-Q3,-4835406036,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2004-Q4,-812346921.2,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2005-Q1,1627319297,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2005-Q2,-1046537109,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2005-Q3,5559180964,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2005-Q4,-4799903423,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2006-Q1,5613545883,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2006-Q2,-3857774719,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2006-Q3,2975483315,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2006-Q4,7492464886,Millions
Portugal,"Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",US dollar,Quarterly,2007-Q1,-4878000859,Millions
