COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",EURO_PERIOD
"Estonia, Republic of",2005,1,% of GDP (annualized),14129000000,4.417703054116399e-06,2.7965174039209115e-05,2.4961878433511488e-05,5.501710862353367e-06,3.2705109551390476e-06,8.772221817492412e-06,3.613606851157062e-05,1.4686078388306286e-05,1.8546928116273558e-05,-2.357174979011281e-05,-5.024821673839253e-06,-3.1718365457454226e-05,1.3797043491331666e-05,Pre-Euro
"Estonia, Republic of",2005,2,% of GDP (annualized),14129000000,8.859894858910153e-06,-1.272116895637482e-05,-1.712437626050119e-05,3.044808937428279e-06,2.8922832625533585e-06,5.937092199981638e-06,3.90120601795553e-05,5.668906569684988e-07,-1.9078188084518405e-05,-2.1688059970100225e-05,-4.0766248054618644e-05,-3.015216532064514e-05,4.670334025460026e-05,Pre-Euro
"Estonia, Republic of",2005,3,% of GDP (annualized),14129000000,5.55349510677582e-06,4.45177561730972e-06,-3.2637144750641486e-06,6.9315078851362395e-06,3.2794977291922373e-06,1.0211005614328476e-05,1.1625040130228492e-05,1.848056736091879e-05,-3.429490448400742e-06,1.204984106190351e-06,-2.22450634221039e-06,-6.071545023452669e-06,1.2435511956538866e-05,Pre-Euro
"Estonia, Republic of",2005,4,% of GDP (annualized),14129000000,5.100425560903105e-06,6.913835440406254e-06,2.4620655840823826e-05,-1.8268674667350827e-06,1.6646362526541152e-06,-1.6223121408096814e-07,-2.1195699890296543e-07,2.370890430586028e-05,3.4182271569113172e-06,5.977658384616743e-06,9.39588554152806e-06,5.3123825598060705e-06,-9.558116755609028e-06,Pre-Euro
"Estonia, Republic of",2006,1,% of GDP (annualized),17049000000,4.558435770200681e-06,8.532962998055109e-06,7.142301590438197e-06,7.901100614066896e-06,2.230361382909823e-06,1.0131461996976718e-05,9.692317640104911e-06,3.488500938742066e-05,-1.1460968152429063e-05,-8.657360904902787e-07,-1.232670424291934e-05,-5.133881869904231e-06,2.245816623989606e-05,Pre-Euro
"Estonia, Republic of",2006,2,% of GDP (annualized),17049000000,9.735907613538995e-06,-3.2885994789212976e-06,-7.719647789388865e-06,1.293004103920582e-06,2.0510941812877177e-06,3.3440982852083014e-06,7.4392016937896515e-06,8.856192492606727e-06,2.42069261464584e-07,1.161223959630594e-06,1.403293221095178e-06,2.2967059197493446e-06,1.940805064113122e-06,Pre-Euro
"Estonia, Republic of",2006,3,% of GDP (annualized),17049000000,1.0188993873766377e-05,-1.4482243639825215e-05,-1.638072107815903e-05,1.3241506416347207e-05,1.3486066187143596e-06,1.459011303506157e-05,1.0996220501089417e-05,-9.187434910235938e-06,-2.989728249344595e-09,1.871181219417301e-06,1.8681914911679568e-06,-8.072266273230404e-07,1.2721921543893611e-05,Pre-Euro
"Estonia, Republic of",2006,4,% of GDP (annualized),17049000000,9.445431321671703e-06,9.832440031394487e-06,5.043207248575035e-06,-2.551838679734607e-06,3.134105377534715e-06,5.822666978001077e-07,1.3122014064038151e-05,2.3337411307725516e-05,2.3704283470520525e-06,5.6715219358210615e-06,8.041950282873114e-06,-3.67658274236645e-06,-7.459683585073006e-06,Pre-Euro
"Estonia, Republic of",2007,1,% of GDP (annualized),22478000000,6.883334011311055e-06,7.081945094926146e-06,4.794559249599605e-07,2.418502744350029e-06,3.2876244730959144e-06,5.706127217445943e-06,1.0973052470749172e-05,1.784395579775224e-05,-1.231407376101076e-06,4.758526590583012e-06,3.527119214481936e-06,-4.089718459438115e-06,2.1790080029640076e-06,Pre-Euro
"Estonia, Republic of",2007,2,% of GDP (annualized),22478000000,1.4868750057547092e-05,1.2744163099116087e-05,1.4824127973731808e-05,-8.0367731602799e-07,4.444359548002428e-06,3.640682231974437e-06,1.0335050380443525e-05,2.8505018967821887e-05,-1.6457392202841825e-06,1.7989417080499956e-06,1.5320248776581328e-07,4.5336996771035675e-06,3.487479744208624e-06,Pre-Euro
"Estonia, Republic of",2007,3,% of GDP (annualized),22478000000,1.043653046479612e-05,4.2795410062487517e-07,-2.7722282342392293e-06,1.5328604461113775e-06,3.855620748903116e-06,5.388481195014494e-06,1.4519391051763114e-05,2.2928218513992668e-05,8.850007679303329e-07,1.4328944753912912e-06,2.317895243321625e-06,-4.082860586966995e-06,3.070585951692869e-06,Pre-Euro
"Estonia, Republic of",2007,4,% of GDP (annualized),22478000000,1.0296290332825424e-05,1.7345709086050796e-05,1.6750231900024463e-05,-1.7065190352789388e-06,3.773417770153037e-07,-1.3291772582636348e-06,1.8147876145564534e-05,1.847794064296199e-05,1.1316644357816528e-06,-2.1534620418297874e-06,-1.0217976060481353e-06,-7.85158581273912e-06,-3.0737965221549937e-07,Pre-Euro
"Estonia, Republic of",2008,1,% of GDP (annualized),24434000000,8.48913146213527e-06,3.7618684876970646e-06,2.4372061337058773e-07,-6.86467877917361e-08,-2.3892759658013017e-06,-2.4579227535930375e-06,1.597508818753402e-05,6.505459945343427e-06,1.6867496428826587e-06,-1.5003245806082436e-06,1.8642506227441484e-07,-7.485956725398747e-06,-2.6443478158674517e-06,Pre-Euro
"Estonia, Republic of",2008,2,% of GDP (annualized),24434000000,6.438202891053447e-06,-1.3667984750757134e-06,-3.7707924997953635e-06,-3.5446124662355717e-06,-1.463111682491609e-06,-5.00772414872718e-06,6.518915711713183e-06,4.347290726446751e-06,-1.025533621183596e-06,-5.78493030203814e-08,-1.0833829242039776e-06,-8.071282065973639e-08,-3.924341224523203e-06,Pre-Euro
"Estonia, Republic of",2008,3,% of GDP (annualized),24434000000,5.6955322713505495e-06,-1.8766156350688354e-06,7.769154728507823e-07,2.3504815942017778e-06,1.4339416014941666e-07,2.493875754351194e-06,7.4629022524498815e-06,3.245832759120989e-07,1.5275666545126863e-07,-5.454891246921108e-07,-3.927324592408423e-07,-1.7673699810993303e-06,2.886608213592037e-06,Pre-Euro
