COUNTRY,YEAR,"Gross domestic product (GDP), Current prices, US dollar"
"Estonia, Republic of",1999,5771000000
"Estonia, Republic of",2000,5707000000
"Estonia, Republic of",2001,6265000000
"Estonia, Republic of",2002,7393000000
"Estonia, Republic of",2003,9894000000
"Estonia, Republic of",2004,12161000000
"Estonia, Republic of",2005,14129000000
"Estonia, Republic of",2006,17049000000
"Estonia, Republic of",2007,22478000000
"Estonia, Republic of",2008,24434000000
"Estonia, Republic of",2009,19694000000
"Estonia, Republic of",2010,19569000000
"Estonia, Republic of",2011,23300000000
"Estonia, Republic of",2012,23252000000
"Estonia, Republic of",2013,25451000000
"Estonia, Republic of",2014,27063000000
"Estonia, Republic of",2015,23314000000
"Estonia, Republic of",2016,24554000000
"Estonia, Republic of",2017,27460000000
"Estonia, Republic of",2018,31237000000
"Estonia, Republic of",2019,31877000000
"Estonia, Republic of",2020,31795000000
"Estonia, Republic of",2021,37229000000
"Estonia, Republic of",2022,38406000000
"Estonia, Republic of",2023,41303000000
"Estonia, Republic of",2024,42752000000
"Latvia, Republic of",1999,7325000000
"Latvia, Republic of",2000,7765000000
"Latvia, Republic of",2001,8192000000
"Latvia, Republic of",2002,9256000000
"Latvia, Republic of",2003,11249000000
"Latvia, Republic of",2004,13831000000
"Latvia, Republic of",2005,16332000000
"Latvia, Republic of",2006,20453000000
"Latvia, Republic of",2007,29463000000
"Latvia, Republic of",2008,34296000000
"Latvia, Republic of",2009,25758000000
"Latvia, Republic of",2010,23509000000
"Latvia, Republic of",2011,26832000000
"Latvia, Republic of",2012,27136000000
"Latvia, Republic of",2013,29157000000
"Latvia, Republic of",2014,30285000000
"Latvia, Republic of",2015,26347000000
"Latvia, Republic of",2016,27110000000
"Latvia, Republic of",2017,29381000000
"Latvia, Republic of",2018,33263000000
"Latvia, Republic of",2019,33103000000
"Latvia, Republic of",2020,33353000000
"Latvia, Republic of",2021,38209000000
"Latvia, Republic of",2022,38045000000
"Latvia, Republic of",2023,42584000000
"Latvia, Republic of",2024,43508000000
"Lithuania, Republic of",1999,11017000000
"Lithuania, Republic of",2000,11541000000
"Lithuania, Republic of",2001,12260000000
"Lithuania, Republic of",2002,14283000000
"Lithuania, Republic of",2003,18801000000
"Lithuania, Republic of",2004,22710000000
"Lithuania, Republic of",2005,26118000000
"Lithuania, Republic of",2006,30138000000
"Lithuania, Republic of",2007,39765000000
"Lithuania, Republic of",2008,48004000000
"Lithuania, Republic of",2009,37591000000
"Lithuania, Republic of",2010,36693000000
"Lithuania, Republic of",2011,43201000000
"Lithuania, Republic of",2012,42736000000
"Lithuania, Republic of",2013,46321000000
"Lithuania, Republic of",2014,48388000000
"Lithuania, Republic of",2015,41548000000
"Lithuania, Republic of",2016,42952000000
"Lithuania, Republic of",2017,47745000000
"Lithuania, Republic of",2018,54294000000
"Lithuania, Republic of",2019,55132000000
"Lithuania, Republic of",2020,57352000000
"Lithuania, Republic of",2021,67068000000
"Lithuania, Republic of",2022,71082000000
"Lithuania, Republic of",2023,79824000000
"Lithuania, Republic of",2024,84847000000
