COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP"
Cyprus,2001.0,1.0,% of GDP (annualized),10.397,-3610.155620691287,-23219.255690533457,0.0,-15386.074443515656,-4223.0256263265055
Cyprus,2001.0,2.0,% of GDP (annualized),10.397,-3298.1880621266823,-17193.54718182159,0.0,-2415.824899318552,-11479.53422037635
Cyprus,2001.0,3.0,% of GDP (annualized),10.397,-6865.444129992994,9610.166340887812,0.0,11419.508272027164,5056.102198853639
Cyprus,2001.0,4.0,% of GDP (annualized),10.397,-12987.899590554814,-6327.412660193479,0.0,6342.463680533269,318.0232498280636
Cyprus,2002.0,1.0,% of GDP (annualized),11.422,-1318.8787252045254,-28042.08725295293,154.59266852278148,-20464.87084341235,-6412.9303528588325
Cyprus,2002.0,2.0,% of GDP (annualized),11.422,-2609.258389793949,15600.618675164083,1363.5146335313927,8025.257557356195,8821.10487407044
Cyprus,2002.0,3.0,% of GDP (annualized),11.422,-12393.248951705486,2712.830638244906,-1043.0388288299075,14968.206641311954,1180.911777468344
Cyprus,2002.0,4.0,% of GDP (annualized),11.422,-3128.6543516191596,-19193.21791212667,1285.1650848406011,-33952.83757474122,16603.1089293931
Cyprus,2003.0,1.0,% of GDP (annualized),14.552,-3514.316951410971,-2614.2272607990544,223.75110953064535,-4383.4876458049175,5059.826226886184
Cyprus,2003.0,2.0,% of GDP (annualized),14.552,-1921.8854006175636,2495.0321724609457,-302.965465301414,-4751.774139990596,9471.65717837052
Cyprus,2003.0,3.0,% of GDP (annualized),14.552,-1041.8951912915036,11791.902514999483,-527.7054977915701,20179.45823554965,-6817.955031467086
Cyprus,2003.0,4.0,% of GDP (annualized),14.552,-2275.7943857038695,-12936.329358841784,151.09419646967115,4633.55535840325,-15445.184528010834
