COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP"
Cyprus,2001.0,1.0,% of GDP (annualized),10397000000.0,-3.610155620691287e-06,-2.3219255690533453e-05,0.0,-1.5386074443515657e-05,-4.223025626326505e-06
Cyprus,2001.0,2.0,% of GDP (annualized),10397000000.0,-3.298188062126683e-06,-1.7193547181821588e-05,0.0,-2.415824899318552e-06,-1.1479534220376352e-05
Cyprus,2001.0,3.0,% of GDP (annualized),10397000000.0,-6.865444129992994e-06,9.610166340887814e-06,0.0,1.1419508272027164e-05,5.0561021988536384e-06
Cyprus,2001.0,4.0,% of GDP (annualized),10397000000.0,-1.2987899590554815e-05,-6.327412660193479e-06,0.0,6.34246368053327e-06,3.180232498280636e-07
Cyprus,2002.0,1.0,% of GDP (annualized),11422000000.0,-1.3188787252045252e-06,-2.8042087252952937e-05,1.5459266852278148e-07,-2.046487084341235e-05,-6.412930352858834e-06
Cyprus,2002.0,2.0,% of GDP (annualized),11422000000.0,-2.6092583897939493e-06,1.5600618675164084e-05,1.3635146335313929e-06,8.025257557356195e-06,8.821104874070439e-06
Cyprus,2002.0,3.0,% of GDP (annualized),11422000000.0,-1.2393248951705486e-05,2.712830638244906e-06,-1.043038828829908e-06,1.4968206641311956e-05,1.180911777468344e-06
Cyprus,2002.0,4.0,% of GDP (annualized),11422000000.0,-3.12865435161916e-06,-1.919321791212668e-05,1.2851650848406012e-06,-3.395283757474122e-05,1.6603108929393104e-05
Cyprus,2003.0,1.0,% of GDP (annualized),14552000000.0,-3.514316951410971e-06,-2.614227260799054e-06,2.237511095306454e-07,-4.383487645804917e-06,5.059826226886184e-06
Cyprus,2003.0,2.0,% of GDP (annualized),14552000000.0,-1.921885400617563e-06,2.4950321724609452e-06,-3.02965465301414e-07,-4.751774139990597e-06,9.47165717837052e-06
Cyprus,2003.0,3.0,% of GDP (annualized),14552000000.0,-1.0418951912915036e-06,1.1791902514999485e-05,-5.2770549779157e-07,2.0179458235549645e-05,-6.817955031467086e-06
Cyprus,2003.0,4.0,% of GDP (annualized),14552000000.0,-2.2757943857038693e-06,-1.293632935884178e-05,1.5109419646967118e-07,4.6335553584032496e-06,-1.544518452801083e-05
Cyprus,2004.0,1.0,% of GDP (annualized),17328000000.0,-2.474626689174208e-06,-1.5975815233190531e-06,3.350509622368003e-07,1.7062962973912342e-05,-1.6520968770293987e-05
Cyprus,2004.0,2.0,% of GDP (annualized),17328000000.0,-1.187130693019923e-06,-5.471135499335152e-06,1.0448792210524949e-07,-3.1441365651670528e-06,-1.2443561632534257e-06
Cyprus,2004.0,3.0,% of GDP (annualized),17328000000.0,1.3056064038049897e-07,-2.554157909597853e-06,6.382906171454884e-07,-8.950685982414218e-06,5.627676815290376e-06
Cyprus,2004.0,4.0,% of GDP (annualized),17328000000.0,-5.866836218603707e-06,-1.143473844210096e-05,-4.657167287311828e-08,9.267762901750536e-06,-1.4789093452374667e-05
Cyprus,2005.0,1.0,% of GDP (annualized),18713000000.0,-2.339811638256008e-06,-6.609145138324122e-06,1.971201278184603e-07,1.0538715126294265e-05,-1.500516875418084e-05
Cyprus,2005.0,2.0,% of GDP (annualized),18713000000.0,2.987725045509872e-07,-3.103233576720932e-06,1.6288674807731485e-07,6.520123830180516e-06,-1.008501665952975e-05
Cyprus,2005.0,3.0,% of GDP (annualized),18713000000.0,-1.7646022164492424e-06,8.18497062302977e-06,2.273668381965041e-08,7.748661845736854e-06,2.178174309922507e-06
Cyprus,2005.0,4.0,% of GDP (annualized),18713000000.0,-9.326470899136613e-06,-2.88577566437794e-05,-5.7614412226084953e-08,-4.353433625360248e-05,2.4060664921185786e-05
Cyprus,2006.0,1.0,% of GDP (annualized),20422000000.0,9.626996677093931e-07,-2.6410179478434337e-06,1.2174907362346409e-06,-1.1209295960747616e-05,6.3880876089601515e-06
Cyprus,2006.0,2.0,% of GDP (annualized),20422000000.0,-2.8582693455427655e-06,-7.687728418199025e-06,2.099742440947625e-06,9.722406371790733e-08,-7.0264255773217905e-06
Cyprus,2006.0,3.0,% of GDP (annualized),20422000000.0,2.678437352102284e-06,4.4693772027451925e-06,-8.561038970039694e-07,-8.906102353265682e-06,1.155314610091256e-05
Cyprus,2006.0,4.0,% of GDP (annualized),20422000000.0,-1.9862512036986034e-05,-3.85924603980227e-05,6.840387412889881e-07,-1.1401438323299872e-05,-8.012548779025793e-06
Cyprus,2007.0,1.0,% of GDP (annualized),24082000000.0,-1.2847499904376188e-06,8.226856719016022e-06,-2.068028636533509e-06,-7.030737102603213e-06,1.8610372448590347e-05
Cyprus,2007.0,2.0,% of GDP (annualized),24082000000.0,3.784119105790109e-07,-1.1401876542513931e-05,1.7488519761781397e-06,-1.996585658844832e-06,-1.1532554770426252e-05
Cyprus,2007.0,3.0,% of GDP (annualized),24082000000.0,-1.4585594326248584e-06,6.454209678478262e-06,-1.480965319772795e-06,-2.4420684170549756e-05,3.3814418601425656e-05
Cyprus,2007.0,4.0,% of GDP (annualized),24082000000.0,-1.4776588319169496e-05,-4.2042834870990566e-05,-4.716005834233035e-07,5.856509285981229e-06,-3.2651155254379004e-05
Cyprus,2008.0,1.0,% of GDP (annualized),27955000000.0,-9.65351654680501e-07,-6.785552297310859e-06,2.4448555345848732e-06,-1.8140096784668488e-05,9.87504060745326e-06
Cyprus,2008.0,2.0,% of GDP (annualized),27955000000.0,1.3207326328800364e-05,-6.176663702582169e-06,1.8300964771953064e-06,-4.2040351164236386e-05,2.0826264655658537e-05
Cyprus,2008.0,3.0,% of GDP (annualized),27955000000.0,4.123626738073736e-05,-2.003129751609893e-05,1.454354902938138e-07,-0.0001193915025396,5.797850215249706e-05
Cyprus,2008.0,4.0,% of GDP (annualized),27955000000.0,1.2557338774636157e-05,-2.2538626847157528e-05,-1.4376239135393885e-06,-0.0001966572820662,0.0001629989403579
Cyprus,2009.0,1.0,% of GDP (annualized),26020000000.0,-3.537378066861793e-06,-3.129176464719903e-07,-3.761058205816469e-06,-0.0001280196156801,0.0001324543241765
Cyprus,2009.0,2.0,% of GDP (annualized),26020000000.0,1.972764165301491e-05,-1.9827109267982383e-05,2.252751036828579e-06,-7.447464869951172e-05,3.2667146741685817e-05
Cyprus,2009.0,3.0,% of GDP (annualized),26020000000.0,-2.455755021439557e-06,-1.633619257828732e-05,7.696893545248613e-07,-2.0911953800147302e-05,8.983535894936423e-06
Cyprus,2009.0,4.0,% of GDP (annualized),26020000000.0,-3.845031835403569e-05,-1.1812366555876345e-06,-1.7995065975489106e-07,-1.5341848144025336e-05,5.279088050222827e-05
Cyprus,2010.0,1.0,% of GDP (annualized),25821000000.0,3.2666503741692946e-05,-2.1926396737892985e-05,-9.8870803269023e-07,-9.409207386318352e-05,4.048788141628781e-05
Cyprus,2010.0,2.0,% of GDP (annualized),25821000000.0,-5.842047987189014e-05,-3.4909818643351375e-06,-6.322998212342342e-07,-9.91408246171104e-05,0.0001547026224458
Cyprus,2010.0,3.0,% of GDP (annualized),25821000000.0,2.353764763108928e-05,-4.826350268689569e-06,1.7586599739740444e-06,0.0001329914784254,-0.0001631141362992
Cyprus,2010.0,4.0,% of GDP (annualized),25821000000.0,1.2558190277630584e-05,-1.2798363160546887e-05,1.3399435786134572e-06,-3.4873936201519696e-06,-2.320910339663895e-05
Cyprus,2011.0,1.0,% of GDP (annualized),27637000000.0,4.5185419910522344e-05,-1.80535833743802e-05,1.7238024848547772e-06,-3.2044627300304895e-06,-6.175834303972685e-05
Cyprus,2011.0,2.0,% of GDP (annualized),27637000000.0,-4.597557738731103e-06,-2.9808806969023615e-06,-7.724289653578149e-07,0.000121316387504,-0.0001189272814968
Cyprus,2011.0,3.0,% of GDP (annualized),27637000000.0,3.8007994938316275e-05,-5.790533804223854e-06,2.3875856442823256e-06,-8.897500732585963e-05,4.27888929390372e-05
Cyprus,2011.0,4.0,% of GDP (annualized),27637000000.0,2.8524813467912165e-05,7.665369382674967e-06,-1.923863802573369e-06,3.547036159847923e-06,-2.2482616442511747e-05
Cyprus,2012.0,1.0,% of GDP (annualized),25063000000.0,-9.476153612291077e-06,-1.1162437553279192e-05,5.344401313464326e-06,4.443758806852794e-05,-5.146827332298035e-05
Cyprus,2012.0,2.0,% of GDP (annualized),25063000000.0,3.768699597991041e-05,-6.4206245738314984e-06,2.7950140100007832e-06,-4.4914096177141626e-05,-1.9885383866010853e-06
Cyprus,2012.0,3.0,% of GDP (annualized),25063000000.0,4.683459404350471e-05,-1.3901930049092504e-06,-7.315144124876113e-07,-3.161301745788554e-05,-1.5880255178040794e-05
Cyprus,2012.0,4.0,% of GDP (annualized),25063000000.0,1.896578274176715e-05,-4.229444941908723e-06,1.0545275240047497e-06,2.201347890066731e-05,-4.62632341083479e-05
Cyprus,2013.0,1.0,% of GDP (annualized),23960000000.0,4.8701936319007184e-05,-1.1409370901055432e-05,1.2845660949596184e-06,0.000193833928671,-0.0002552298019861
Cyprus,2013.0,2.0,% of GDP (annualized),23960000000.0,5.0001201815434926e-05,3.5182927841897027e-06,-8.156111715680522e-07,-2.9294403496862652e-05,-1.823875942440083e-05
