COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Gross domestic product (GDP), Current prices, US dollar"
Cyprus,2001.0,1.0,"US dollar, Nominal (Current Prices)",-93836969.97081828,-603526503.5361909,0.0,-399922539.9730807,-109766993.5922917,10397000000.0
Cyprus,2001.0,2.0,"US dollar, Nominal (Current Prices)",-85728153.2048278,-446903275.1234976,0.0,-62793328.69553747,-298381793.2231323,10397000000.0
Cyprus,2001.0,3.0,"US dollar, Nominal (Current Prices)",-178450056.5488429,249792248.6155265,0.0,296821568.7606661,131420736.4037032,10397000000.0
Cyprus,2001.0,4.0,"US dollar, Nominal (Current Prices)",-337587980.107496,-164465273.570079,0.0,164856487.216261,8266219.321155944,10397000000.0
Cyprus,2002.0,1.0,"US dollar, Nominal (Current Prices)",-37660581.99821522,-800741801.508071,4414393.649668026,-584374386.9336396,-183121226.225884,11422000000.0
Cyprus,2002.0,2.0,"US dollar, Nominal (Current Prices)",-74507373.32056622,445475666.2693105,38935160.36048892,229161229.5503062,251886649.6790814,11422000000.0
Cyprus,2002.0,3.0,"US dollar, Nominal (Current Prices)",-353889223.8159501,77464878.8750833,-29783973.75723802,427417140.6426628,33720935.80560856,11422000000.0
Cyprus,2002.0,4.0,"US dollar, Nominal (Current Prices)",-89338725.01048511,-548062337.4807773,36697888.99762337,-969523276.9467356,474101775.4788201,11422000000.0
Cyprus,2003.0,1.0,"US dollar, Nominal (Current Prices)",-127850850.6923311,-95105587.7478696,8140065.364724879,-159471280.5543829,184076478.1341194,14552000000.0
Cyprus,2003.0,2.0,"US dollar, Nominal (Current Prices)",-69918190.87446696,90769270.4341292,-11021883.62766544,-172869543.2128579,344578888.1491195,14552000000.0
Cyprus,2003.0,3.0,"US dollar, Nominal (Current Prices)",-37904147.0591849,428989413.4956812,-19197926.00965732,734128690.6092961,-248037204.0447726,14552000000.0
