COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP"
"Afghanistan, Islamic Republic of",2008.0,2.0,% of GDP (annualized),10297000000.0,-0.391468893043535,-0.5422078204979276,0.0,-0.18242315635698786,0.0
"Afghanistan, Islamic Republic of",2008.0,3.0,% of GDP (annualized),10297000000.0,-0.832878831724242,-3.87554184059805,0.0,-3.777062703835739,0.0
"Afghanistan, Islamic Republic of",2008.0,4.0,% of GDP (annualized),10297000000.0,-0.3989810044016005,-2.7542650529040578,0.0,-2.386475580860301,0.0
"Afghanistan, Islamic Republic of",2009.0,1.0,% of GDP (annualized),12066000000.0,-0.20431746470688947,-10.127618553781502,0.0,-9.95176342955445,0.0
"Afghanistan, Islamic Republic of",2009.0,2.0,% of GDP (annualized),12066000000.0,-0.42815730211294545,8.867516991901873,0.0,9.26844311312876,0.0
"Afghanistan, Islamic Republic of",2009.0,3.0,% of GDP (annualized),12066000000.0,-0.848177587178886,-4.568280274295243,0.0,-3.754159050778452,0.0
"Afghanistan, Islamic Republic of",2009.0,4.0,% of GDP (annualized),12066000000.0,-0.3711671542249362,-2.8280842157195196,0.0,-2.501735811225861,0.0
"Afghanistan, Islamic Republic of",2010.0,1.0,% of GDP (annualized),15325000000.0,-3.8494191110918887,-2.2179262924219225,0.0,1.4059253781294774,0.0
"Afghanistan, Islamic Republic of",2010.0,2.0,% of GDP (annualized),15325000000.0,-0.37801259061482023,0.6128687823157689,0.0,0.97884322670803,0.0
"Afghanistan, Islamic Republic of",2010.0,3.0,% of GDP (annualized),15325000000.0,-0.2643226831021938,1.5121095879698636,0.0,1.7618522246517636,0.0
"Afghanistan, Islamic Republic of",2010.0,4.0,% of GDP (annualized),15325000000.0,-0.520251604579782,2.3585980474275132,0.0,2.6059423293591673,0.26054149494845574
"Afghanistan, Islamic Republic of",2011.0,1.0,% of GDP (annualized),17890000000.0,-0.23195024910166573,1.5282154574957585,0.0,1.757335653952188,-0.0009679447003777797
"Afghanistan, Islamic Republic of",2011.0,2.0,% of GDP (annualized),17890000000.0,-0.24203821878801116,2.0676840969498915,0.0,1.6997277588752868,0.6083415861521789
"Afghanistan, Islamic Republic of",2011.0,3.0,% of GDP (annualized),17890000000.0,-0.4275592711720134,1.9868939527661351,0.003359167599442862,1.8667887840448518,0.5404454270407043
"Afghanistan, Islamic Republic of",2011.0,4.0,% of GDP (annualized),17890000000.0,-0.23956536571775744,0.7953949718736366,-0.0016988284168499652,0.1549072085269185,0.6044575742926216
"Afghanistan, Islamic Republic of",2012.0,1.0,% of GDP (annualized),20293000000.0,-0.31105651216276553,-1.877380881978162,0.0031914065491476466,-1.576144263108812,0.006628486744267896
"Afghanistan, Islamic Republic of",2012.0,2.0,% of GDP (annualized),20293000000.0,-0.6207104987465786,-0.16225028978680253,0.0013782769281832712,0.044828485855475886,0.4122534461761119
"Afghanistan, Islamic Republic of",2012.0,3.0,% of GDP (annualized),20293000000.0,-0.19740307279535013,3.504844162649189,-0.005720334928542197,3.8759393598543537,-0.1679717894812623
"Afghanistan, Islamic Republic of",2012.0,4.0,% of GDP (annualized),20293000000.0,-0.16555245793809942,2.732363644038989,0.0,2.624870726966225,0.2730453750108708
"Afghanistan, Islamic Republic of",2013.0,1.0,% of GDP (annualized),20170000000.0,-0.41263881302008526,-2.8131932316593358,0.0,-2.911754741020585,0.5112003223813486
"Afghanistan, Islamic Republic of",2013.0,2.0,% of GDP (annualized),20170000000.0,-0.18510118076332174,2.4970617381725337,0.0,2.108602271417174,0.5735606475187011
"Afghanistan, Islamic Republic of",2013.0,3.0,% of GDP (annualized),20170000000.0,-0.18669049320243808,0.9781897288771244,0.0,1.0621278242277978,0.1027523978517648
"Afghanistan, Islamic Republic of",2013.0,4.0,% of GDP (annualized),20170000000.0,-0.16299692024450788,-2.3349945837866932,0.0,-2.3023429905739015,0.13034532703171978
"Afghanistan, Islamic Republic of",2014.0,1.0,% of GDP (annualized),20616000000.0,-0.2300281565667753,0.11088127758904753,0.0,0.13426182214298119,0.20664761201284054
"Afghanistan, Islamic Republic of",2014.0,2.0,% of GDP (annualized),20616000000.0,-0.18863169295247575,0.18347834135853744,0.0,0.2990444338592996,0.07306560045170295
"Afghanistan, Islamic Republic of",2014.0,3.0,% of GDP (annualized),20616000000.0,-0.1617410160959775,-0.017224700159099823,0.0010690934759970219,-0.17238357069358012,0.31583079315446644
"Afghanistan, Islamic Republic of",2014.0,4.0,% of GDP (annualized),20616000000.0,-0.2537942490669073,-0.014460366270203803,-0.004219974488870683,0.7415181490740862,0.3353618206390531
"Afghanistan, Islamic Republic of",2015.0,1.0,% of GDP (annualized),20057000000.0,-0.35929414941554766,-0.9856557054867349,-0.007086735513702368,-0.7903260509113904,0.3000159941774602
"Afghanistan, Islamic Republic of",2015.0,2.0,% of GDP (annualized),20057000000.0,-0.6508952282025567,0.5088270735039179,0.007878734057448631,0.4982824283352226,0.718215987023862
"Afghanistan, Islamic Republic of",2015.0,3.0,% of GDP (annualized),20057000000.0,-1.5503680541426295,0.6756223389467318,-0.011360643493024222,1.9645103908475046,0.310792543849822
"Afghanistan, Islamic Republic of",2015.0,4.0,% of GDP (annualized),20057000000.0,-0.7696226532307443,0.009213548146922651,0.004728130789586897,0.5567480974597976,0.2799761043521065
"Afghanistan, Islamic Republic of",2016.0,1.0,% of GDP (annualized),18020000000.0,-0.3430285400209434,1.8822755417575072,-0.01010208944065425,1.8950110952442862,0.4132767895034451
"Afghanistan, Islamic Republic of",2016.0,2.0,% of GDP (annualized),18020000000.0,-0.3840364167751609,-1.6393338241511741,-0.008905772847098623,-2.0630972903794986,0.8660236450065572
"Afghanistan, Islamic Republic of",2016.0,3.0,% of GDP (annualized),18020000000.0,-0.43665160455696783,0.42624826942815097,0.005278506261764683,0.415808746623081,0.46550526560986466
"Afghanistan, Islamic Republic of",2016.0,4.0,% of GDP (annualized),18020000000.0,-0.6028820790295849,0.26442475827488565,0.01912938193953159,0.41856888330691683,0.4631801259131143
"Afghanistan, Islamic Republic of",2017.0,1.0,% of GDP (annualized),18883000000.0,-0.1054421047956901,0.3096498901694921,-0.0013599600084970884,-0.2449730370398517,0.7750436744696796
"Afghanistan, Islamic Republic of",2017.0,2.0,% of GDP (annualized),18883000000.0,-0.29138706073884446,-0.5950528791689838,-0.003419777775411704,0.43909390022399825,-0.6415532781192882
"Afghanistan, Islamic Republic of",2017.0,3.0,% of GDP (annualized),18883000000.0,-0.20207602809934566,-3.260793090522078,0.001859190462332801,-2.817573244046645,-0.25039885839997456
"Afghanistan, Islamic Republic of",2017.0,4.0,% of GDP (annualized),18883000000.0,-0.2542041851774379,0.7315264681756839,0.00436183782898459,1.561738072991815,-0.5095100491672553
"Afghanistan, Islamic Republic of",2018.0,1.0,% of GDP (annualized),18336000000.0,-0.9448727054550741,0.3483536766443477,0.0022519492262752837,0.45721933183756985,0.9614964058153491
"Afghanistan, Islamic Republic of",2018.0,2.0,% of GDP (annualized),18336000000.0,-1.0853291197473844,-0.4784615276764551,0.0,0.8520793256874368,-0.2452117336165096
"Afghanistan, Islamic Republic of",2018.0,3.0,% of GDP (annualized),18336000000.0,0.12953553971500634,4.195641006392125,0.0,1.7363046118068455,2.3298008548702662
"Afghanistan, Islamic Republic of",2018.0,4.0,% of GDP (annualized),18336000000.0,0.14169150206390752,2.7042035227708334,0.0,2.49550416897572,0.06700785173119438
"Afghanistan, Islamic Republic of",2019.0,1.0,% of GDP (annualized),18876000000.0,0.03615837701630388,-1.6803165113398477,0.0,-1.5019031792107207,-0.3487892011809557
"Afghanistan, Islamic Republic of",2019.0,2.0,% of GDP (annualized),18876000000.0,-0.13311956552412227,-0.006415112408631066,0.0,-0.200093785798676,0.3267982389141661
"Afghanistan, Islamic Republic of",2019.0,3.0,% of GDP (annualized),18876000000.0,0.191614921720438,-1.9418259429070925,0.0,-1.547635102952208,-0.715007160906139
"Afghanistan, Islamic Republic of",2019.0,4.0,% of GDP (annualized),18876000000.0,-0.03285053487816677,3.1870035163354316,0.002836766323809366,2.6328351802559014,0.42711264687713707
"Afghanistan, Islamic Republic of",2020.0,1.0,% of GDP (annualized),20136000000.0,0.05781998111853754,-0.7540040070228426,-0.002712616246010449,-0.4475932589607429,-0.3615181129346345
"Afghanistan, Islamic Republic of",2020.0,2.0,% of GDP (annualized),20136000000.0,-0.008512410077741478,-0.5041318274962059,-0.004227667227232221,-5.777093171502543,0.8182278058870183
