COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP"
"Afghanistan, Islamic Republic of",2008.0,2.0,% of GDP (annualized),10.297,-391.46889304353493,-542.2078204979276,0.0,-182.42315635698785,0.0
"Afghanistan, Islamic Republic of",2008.0,3.0,% of GDP (annualized),10.297,-832.878831724242,-3875.54184059805,0.0,-3777.0627038357384,0.0
"Afghanistan, Islamic Republic of",2008.0,4.0,% of GDP (annualized),10.297,-398.9810044016004,-2754.265052904058,0.0,-2386.475580860301,0.0
"Afghanistan, Islamic Republic of",2009.0,1.0,% of GDP (annualized),12.066,-204.31746470688944,-10127.618553781502,0.0,-9951.76342955445,0.0
"Afghanistan, Islamic Republic of",2009.0,2.0,% of GDP (annualized),12.066,-428.15730211294544,8867.516991901872,0.0,9268.443113128758,0.0
"Afghanistan, Islamic Republic of",2009.0,3.0,% of GDP (annualized),12.066,-848.177587178886,-4568.280274295242,0.0,-3754.159050778452,0.0
"Afghanistan, Islamic Republic of",2009.0,4.0,% of GDP (annualized),12.066,-371.16715422493616,-2828.0842157195193,0.0,-2501.7358112258607,0.0
"Afghanistan, Islamic Republic of",2010.0,1.0,% of GDP (annualized),15.325,-3849.419111091889,-2217.9262924219224,0.0,1405.9253781294774,0.0
"Afghanistan, Islamic Republic of",2010.0,2.0,% of GDP (annualized),15.325,-378.0125906148203,612.868782315769,0.0,978.8432267080301,0.0
"Afghanistan, Islamic Republic of",2010.0,3.0,% of GDP (annualized),15.325,-264.3226831021938,1512.1095879698637,0.0,1761.852224651764,0.0
"Afghanistan, Islamic Republic of",2010.0,4.0,% of GDP (annualized),15.325,-520.2516045797821,2358.5980474275134,0.0,2605.9423293591676,260.54149494845575
"Afghanistan, Islamic Republic of",2011.0,1.0,% of GDP (annualized),17.89,-231.95024910166575,1528.2154574957585,0.0,1757.3356539521878,-0.9679447003777774
"Afghanistan, Islamic Republic of",2011.0,2.0,% of GDP (annualized),17.89,-242.03821878801114,2067.6840969498908,0.0,1699.7277588752866,608.3415861521788
"Afghanistan, Islamic Republic of",2011.0,3.0,% of GDP (annualized),17.89,-427.5592711720133,1986.8939527661355,3.359167599442862,1866.7887840448518,540.4454270407042
"Afghanistan, Islamic Republic of",2011.0,4.0,% of GDP (annualized),17.89,-239.5653657177574,795.3949718736366,-1.698828416849965,154.9072085269185,604.4575742926215
"Afghanistan, Islamic Republic of",2012.0,1.0,% of GDP (annualized),20.293,-311.05651216276556,-1877.380881978162,3.191406549147647,-1576.1442631088119,6.628486744267896
"Afghanistan, Islamic Republic of",2012.0,2.0,% of GDP (annualized),20.293,-620.7104987465787,-162.25028978680254,1.378276928183271,44.82848585547588,412.253446176112
