COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP"
"Afghanistan, Islamic Republic of",2008.0,2.0,% of GDP (annualized),10297000000.0,-3.9146889304353506e-07,-5.422078204979276e-07,0.0,-1.8242315635698786e-07,0.0
"Afghanistan, Islamic Republic of",2008.0,3.0,% of GDP (annualized),10297000000.0,-8.328788317242422e-07,-3.87554184059805e-06,0.0,-3.7770627038357387e-06,0.0
"Afghanistan, Islamic Republic of",2008.0,4.0,% of GDP (annualized),10297000000.0,-3.9898100440160053e-07,-2.7542650529040576e-06,0.0,-2.386475580860301e-06,0.0
"Afghanistan, Islamic Republic of",2009.0,1.0,% of GDP (annualized),12066000000.0,-2.0431746470688945e-07,-1.0127618553781501e-05,0.0,-9.95176342955445e-06,0.0
"Afghanistan, Islamic Republic of",2009.0,2.0,% of GDP (annualized),12066000000.0,-4.281573021129455e-07,8.867516991901873e-06,0.0,9.268443113128758e-06,0.0
"Afghanistan, Islamic Republic of",2009.0,3.0,% of GDP (annualized),12066000000.0,-8.481775871788863e-07,-4.568280274295243e-06,0.0,-3.754159050778452e-06,0.0
"Afghanistan, Islamic Republic of",2009.0,4.0,% of GDP (annualized),12066000000.0,-3.711671542249362e-07,-2.8280842157195194e-06,0.0,-2.501735811225861e-06,0.0
"Afghanistan, Islamic Republic of",2010.0,1.0,% of GDP (annualized),15325000000.0,-3.849419111091889e-06,-2.217926292421922e-06,0.0,1.4059253781294776e-06,0.0
"Afghanistan, Islamic Republic of",2010.0,2.0,% of GDP (annualized),15325000000.0,-3.780125906148202e-07,6.128687823157689e-07,0.0,9.788432267080301e-07,0.0
"Afghanistan, Islamic Republic of",2010.0,3.0,% of GDP (annualized),15325000000.0,-2.643226831021938e-07,1.5121095879698638e-06,0.0,1.7618522246517636e-06,0.0
"Afghanistan, Islamic Republic of",2010.0,4.0,% of GDP (annualized),15325000000.0,-5.202516045797821e-07,2.358598047427513e-06,0.0,2.6059423293591674e-06,2.6054149494845577e-07
"Afghanistan, Islamic Republic of",2011.0,1.0,% of GDP (annualized),17890000000.0,-2.319502491016657e-07,1.5282154574957587e-06,0.0,1.757335653952188e-06,-9.679447003777797e-10
"Afghanistan, Islamic Republic of",2011.0,2.0,% of GDP (annualized),17890000000.0,-2.4203821878801117e-07,2.067684096949891e-06,0.0,1.6997277588752867e-06,6.083415861521788e-07
"Afghanistan, Islamic Republic of",2011.0,3.0,% of GDP (annualized),17890000000.0,-4.2755927117201333e-07,1.9868939527661354e-06,3.3591675994428618e-09,1.8667887840448517e-06,5.404454270407043e-07
"Afghanistan, Islamic Republic of",2011.0,4.0,% of GDP (annualized),17890000000.0,-2.395653657177574e-07,7.953949718736366e-07,-1.6988284168499653e-09,1.5490720852691854e-07,6.044575742926217e-07
"Afghanistan, Islamic Republic of",2012.0,1.0,% of GDP (annualized),20293000000.0,-3.110565121627655e-07,-1.877380881978162e-06,3.1914065491476474e-09,-1.5761442631088117e-06,6.628486744267895e-09
"Afghanistan, Islamic Republic of",2012.0,2.0,% of GDP (annualized),20293000000.0,-6.207104987465787e-07,-1.6225028978680253e-07,1.378276928183271e-09,4.4828485855475876e-08,4.122534461761119e-07
"Afghanistan, Islamic Republic of",2012.0,3.0,% of GDP (annualized),20293000000.0,-1.9740307279535013e-07,3.5048441626491887e-06,-5.720334928542196e-09,3.875939359854354e-06,-1.679717894812623e-07
"Afghanistan, Islamic Republic of",2012.0,4.0,% of GDP (annualized),20293000000.0,-1.6555245793809943e-07,2.732363644038989e-06,0.0,2.6248707269662253e-06,2.7304537501087075e-07
"Afghanistan, Islamic Republic of",2013.0,1.0,% of GDP (annualized),20170000000.0,-4.1263881302008527e-07,-2.813193231659336e-06,0.0,-2.9117547410205853e-06,5.112003223813485e-07
"Afghanistan, Islamic Republic of",2013.0,2.0,% of GDP (annualized),20170000000.0,-1.8510118076332174e-07,2.4970617381725335e-06,0.0,2.108602271417174e-06,5.73560647518701e-07
"Afghanistan, Islamic Republic of",2013.0,3.0,% of GDP (annualized),20170000000.0,-1.8669049320243812e-07,9.781897288771244e-07,0.0,1.0621278242277977e-06,1.0275239785176478e-07
"Afghanistan, Islamic Republic of",2013.0,4.0,% of GDP (annualized),20170000000.0,-1.629969202445079e-07,-2.3349945837866933e-06,0.0,-2.302342990573902e-06,1.3034532703171976e-07
"Afghanistan, Islamic Republic of",2014.0,1.0,% of GDP (annualized),20616000000.0,-2.3002815656677533e-07,1.1088127758904753e-07,0.0,1.3426182214298118e-07,2.066476120128405e-07
"Afghanistan, Islamic Republic of",2014.0,2.0,% of GDP (annualized),20616000000.0,-1.8863169295247575e-07,1.8347834135853747e-07,0.0,2.9904443385929957e-07,7.306560045170294e-08
"Afghanistan, Islamic Republic of",2014.0,3.0,% of GDP (annualized),20616000000.0,-1.6174101609597749e-07,-1.7224700159099824e-08,1.0690934759970216e-09,-1.723835706935801e-07,3.158307931544664e-07
"Afghanistan, Islamic Republic of",2014.0,4.0,% of GDP (annualized),20616000000.0,-2.5379424906690724e-07,-1.44603662702038e-08,-4.219974488870683e-09,7.415181490740862e-07,3.3536182063905316e-07
"Afghanistan, Islamic Republic of",2015.0,1.0,% of GDP (annualized),20057000000.0,-3.592941494155477e-07,-9.856557054867349e-07,-7.0867355137023685e-09,-7.903260509113905e-07,3.0001599417746027e-07
"Afghanistan, Islamic Republic of",2015.0,2.0,% of GDP (annualized),20057000000.0,-6.508952282025567e-07,5.088270735039179e-07,7.878734057448633e-09,4.982824283352227e-07,7.18215987023862e-07
"Afghanistan, Islamic Republic of",2015.0,3.0,% of GDP (annualized),20057000000.0,-1.5503680541426293e-06,6.756223389467318e-07,-1.1360643493024221e-08,1.964510390847505e-06,3.10792543849822e-07
"Afghanistan, Islamic Republic of",2015.0,4.0,% of GDP (annualized),20057000000.0,-7.696226532307444e-07,9.21354814692265e-09,4.728130789586897e-09,5.567480974597976e-07,2.799761043521065e-07
"Afghanistan, Islamic Republic of",2016.0,1.0,% of GDP (annualized),18020000000.0,-3.430285400209434e-07,1.8822755417575074e-06,-1.0102089440654252e-08,1.8950110952442866e-06,4.1327678950344505e-07
"Afghanistan, Islamic Republic of",2016.0,2.0,% of GDP (annualized),18020000000.0,-3.8403641677516094e-07,-1.639333824151174e-06,-8.905772847098623e-09,-2.063097290379498e-06,8.660236450065572e-07
"Afghanistan, Islamic Republic of",2016.0,3.0,% of GDP (annualized),18020000000.0,-4.3665160455696776e-07,4.26248269428151e-07,5.278506261764684e-09,4.1580874662308095e-07,4.655052656098646e-07
"Afghanistan, Islamic Republic of",2016.0,4.0,% of GDP (annualized),18020000000.0,-6.028820790295849e-07,2.644247582748857e-07,1.9129381939531587e-08,4.1856888330691677e-07,4.6318012591311435e-07
"Afghanistan, Islamic Republic of",2017.0,1.0,% of GDP (annualized),18883000000.0,-1.054421047956901e-07,3.0964989016949213e-07,-1.3599600084970883e-09,-2.4497303703985174e-07,7.750436744696796e-07
"Afghanistan, Islamic Republic of",2017.0,2.0,% of GDP (annualized),18883000000.0,-2.9138706073884444e-07,-5.950528791689838e-07,-3.419777775411703e-09,4.3909390022399835e-07,-6.415532781192881e-07
"Afghanistan, Islamic Republic of",2017.0,3.0,% of GDP (annualized),18883000000.0,-2.0207602809934562e-07,-3.2607930905220775e-06,1.859190462332801e-09,-2.817573244046645e-06,-2.503988583999746e-07
"Afghanistan, Islamic Republic of",2017.0,4.0,% of GDP (annualized),18883000000.0,-2.542041851774379e-07,7.315264681756839e-07,4.361837828984589e-09,1.561738072991815e-06,-5.095100491672553e-07
"Afghanistan, Islamic Republic of",2018.0,1.0,% of GDP (annualized),18336000000.0,-9.448727054550741e-07,3.483536766443477e-07,2.251949226275284e-09,4.572193318375698e-07,9.61496405815349e-07
"Afghanistan, Islamic Republic of",2018.0,2.0,% of GDP (annualized),18336000000.0,-1.0853291197473843e-06,-4.784615276764551e-07,0.0,8.520793256874367e-07,-2.452117336165096e-07
"Afghanistan, Islamic Republic of",2018.0,3.0,% of GDP (annualized),18336000000.0,1.2953553971500632e-07,4.195641006392125e-06,0.0,1.7363046118068456e-06,2.3298008548702663e-06
"Afghanistan, Islamic Republic of",2018.0,4.0,% of GDP (annualized),18336000000.0,1.4169150206390751e-07,2.704203522770833e-06,0.0,2.4955041689757196e-06,6.700785173119436e-08
"Afghanistan, Islamic Republic of",2019.0,1.0,% of GDP (annualized),18876000000.0,3.615837701630387e-08,-1.6803165113398475e-06,0.0,-1.5019031792107206e-06,-3.487892011809557e-07
"Afghanistan, Islamic Republic of",2019.0,2.0,% of GDP (annualized),18876000000.0,-1.3311956552412228e-07,-6.415112408631066e-09,0.0,-2.0009378579867603e-07,3.2679823891416613e-07
"Afghanistan, Islamic Republic of",2019.0,3.0,% of GDP (annualized),18876000000.0,1.9161492172043801e-07,-1.9418259429070927e-06,0.0,-1.547635102952208e-06,-7.150071609061391e-07
"Afghanistan, Islamic Republic of",2019.0,4.0,% of GDP (annualized),18876000000.0,-3.285053487816677e-08,3.1870035163354316e-06,2.836766323809366e-09,2.632835180255902e-06,4.271126468771371e-07
"Afghanistan, Islamic Republic of",2020.0,1.0,% of GDP (annualized),20136000000.0,5.7819981118537544e-08,-7.540040070228427e-07,-2.712616246010449e-09,-4.475932589607429e-07,-3.615181129346344e-07
"Afghanistan, Islamic Republic of",2020.0,2.0,% of GDP (annualized),20136000000.0,-8.512410077741478e-09,-5.041318274962058e-07,-4.2276672272322214e-09,-5.777093171502542e-06,8.182278058870184e-07
"Afghanistan, Islamic Republic of",2020.0,3.0,% of GDP (annualized),20136000000.0,1.0600309590807906e-07,6.665953527536035e-07,2.5647686933119983e-09,-9.659429532540724e-07,1.5239704414062857e-06
"Afghanistan, Islamic Republic of",2020.0,4.0,% of GDP (annualized),20136000000.0,3.2657908498282473e-07,3.0671149701448347e-06,8.424390671551074e-09,1.2009201525428467e-06,-7.764752711369587e-07
"Afghanistan, Islamic Republic of",2021.0,1.0,% of GDP (annualized),14278000000.0,7.136842550964758e-08,-3.3206087550431992e-06,3.379696904456731e-08,-2.6116763105487013e-06,-8.140978390487016e-07
Albania,1999.0,1.0,% of GDP (annualized),3264000000.0,-1.838235294117647e-06,-3.553921568627451e-06,,-2.5490196078431376e-06,0.0
Albania,1999.0,2.0,% of GDP (annualized),3264000000.0,0.0,7.843137254901962e-07,,7.720588235294117e-07,0.0
Albania,1999.0,3.0,% of GDP (annualized),3264000000.0,-1.5686274509803923e-06,1.0906862745098035e-06,,1.2377450980392156e-06,0.0
Albania,1999.0,4.0,% of GDP (annualized),3264000000.0,-1.6421568627450982e-06,-2.450980392156863e-06,,-6.740196078431372e-07,0.0
Albania,2000.0,1.0,% of GDP (annualized),3529000000.0,-2.2669311419665625e-06,-4.137149334088977e-06,,-3.105695664494191e-06,0.0
Albania,2000.0,2.0,% of GDP (annualized),3529000000.0,-3.4003967129498446e-06,-6.7554548030603575e-06,,-3.4684046472088408e-06,0.0
Albania,2000.0,3.0,% of GDP (annualized),3529000000.0,-7.140833097194673e-06,-2.402947010484556e-06,,3.6837631056956644e-06,8.274298668177954e-07
Albania,2000.0,4.0,% of GDP (annualized),3529000000.0,-3.4003967129498446e-06,-8.05894020969113e-06,,-6.40408047605554e-06,2.006234060640408e-06
Albania,2001.0,1.0,% of GDP (annualized),3974000000.0,-6.703573225968797e-06,-3.2008052340211373e-06,,2.9592350276799194e-06,1.8117765475591343e-07
Albania,2001.0,2.0,% of GDP (annualized),3974000000.0,-3.4323100150981383e-06,-5.656768998490187e-06,,-2.4056366381479614e-06,6.341217916456971e-07
Albania,2001.0,3.0,% of GDP (annualized),3974000000.0,-5.52591847005536e-06,-2.0936084549572223e-06,,1.7916456970306994e-06,1.3085052843482637e-06
Albania,2001.0,4.0,% of GDP (annualized),3974000000.0,-5.203824861600403e-06,-1.2078510317060888e-07,,5.183694011071968e-06,2.415702063412179e-07
Albania,2002.0,1.0,% of GDP (annualized),4408000000.0,-1.996370235934664e-06,-6.338475499092558e-06,,-5.624319419237749e-06,1.5036297640653357e-06
Albania,2002.0,2.0,% of GDP (annualized),4408000000.0,-2.8130671506352085e-06,-5.763157894736842e-06,,-3.964609800362977e-06,9.237749546279492e-07
Albania,2002.0,3.0,% of GDP (annualized),4408000000.0,-3.729582577132486e-06,-4.190562613430127e-06,,-6.506352087114338e-07,5.508166969147006e-07
Albania,2002.0,4.0,% of GDP (annualized),4408000000.0,-3.7114337568058076e-06,-3.0762250453720503e-06,,4.41016333938294e-07,3.6297640653357535e-07
Albania,2003.0,1.0,% of GDP (annualized),5628000000.0,-2.701918976545842e-06,-3.63474374431484e-06,,-2.1057831188706327e-06,8.635279317697228e-07
Albania,2003.0,2.0,% of GDP (annualized),5628000000.0,-3.429883913764513e-06,-4.204829027729878e-06,,-1.654592575332374e-07,-3.8733482587064674e-07
Albania,2003.0,3.0,% of GDP (annualized),5628000000.0,-2.9841459843638946e-06,-1.4185669771423492e-06,,2.4485086223220686e-07,1.0073101634683724e-06
Albania,2003.0,4.0,% of GDP (annualized),5628000000.0,-3.5376687988628286e-06,-5.002659423289992e-06,,-1.2879993664314284e-06,1.1457903340440653e-07
Albania,2004.0,1.0,% of GDP (annualized),7263000000.0,-1.9275781357565745e-06,-1.7044310301991445e-06,,-1.7806221899562166e-07,7.132815640919731e-08
Albania,2004.0,2.0,% of GDP (annualized),7263000000.0,-9.129910186784029e-06,-1.2368769844043784e-05,,-2.7895033582097375e-06,-2.2029464408646563e-07
Albania,2004.0,3.0,% of GDP (annualized),7263000000.0,-3.957555419940096e-06,8.58880669139912e-07,,1.1134229342556521e-05,-6.596021258433155e-06
Albania,2004.0,4.0,% of GDP (annualized),7263000000.0,-3.0315601496524518e-06,-8.610361205097474e-06,,-1.2276877552766737e-05,6.94552889990362e-06
Albania,2005.0,1.0,% of GDP (annualized),8148000000.0,-2.7239446598573e-06,-1.6700329914000725e-06,,-1.912580908952651e-06,2.708812275282921e-06
Albania,2005.0,2.0,% of GDP (annualized),8148000000.0,-3.110256583835636e-06,-7.386409549287967e-06,,-4.451643559984703e-06,3.3879375922470837e-07
Albania,2005.0,3.0,% of GDP (annualized),8148000000.0,-3.195547308727761e-06,1.1163157908581273e-06,,6.600344985587089e-06,-2.4653443799435e-06
Albania,2005.0,4.0,% of GDP (annualized),8148000000.0,-3.656431551186273e-06,-1.1333069152292809e-05,,-7.247353318745754e-06,-3.0417814832467797e-07
Albania,2006.0,1.0,% of GDP (annualized),9002000000.0,-3.0435137759065983e-06,-3.5379869984894333e-06,,-2.825614633180071e-07,-2.5296735819486424e-07
Albania,2006.0,2.0,% of GDP (annualized),9002000000.0,-3.6339963488729705e-06,-5.5948945464071144e-06,,-2.017807813739058e-06,1.7432253066028485e-07
Albania,2006.0,3.0,% of GDP (annualized),9002000000.0,-4.27500736382027e-06,-6.954151277706186e-07,,4.78575155833797e-06,-1.2182955735044388e-06
Albania,2006.0,4.0,% of GDP (annualized),9002000000.0,-3.0283008541549526e-06,-1.3426690778184172e-05,,-1.0058750224104244e-05,-2.2081510490696732e-07
Albania,2007.0,1.0,% of GDP (annualized),10804000000.0,-4.4312967531141426e-06,-5.883586247263624e-06,,-2.1714986926747424e-06,-8.881895594224361e-07
Albania,2007.0,2.0,% of GDP (annualized),10804000000.0,-2.790193588668697e-06,-6.115548223134473e-06,,-4.434752117132321e-06,
Albania,2007.0,3.0,% of GDP (annualized),10804000000.0,-1.1406093147199481e-05,-1.2398630517068148e-05,,-3.6887913637253057e-06,9.677897075157348e-07
Albania,2007.0,4.0,% of GDP (annualized),10804000000.0,-5.340031609369788e-06,-7.3624552785493805e-06,,-3.432026684190008e-06,-1.0351721584598297e-06
Albania,2008.0,1.0,% of GDP (annualized),13035000000.0,-4.210982234925957e-06,-7.942179961147044e-06,0.0,-2.967402847420812e-06,-6.291427130430683e-07
Albania,2008.0,2.0,% of GDP (annualized),13035000000.0,-6.624212451093208e-06,-1.909123148446489e-05,0.0,-1.20120778250863e-05,-4.6692596087456816e-07
Albania,2008.0,3.0,% of GDP (annualized),13035000000.0,-6.763654113052152e-06,-9.187854894165895e-06,0.0,-2.5696805384105273e-06,1.791941137496917e-07
Albania,2008.0,4.0,% of GDP (annualized),13035000000.0,-9.443550129459152e-06,-3.146501927502877e-05,0.0,-2.3735867817894137e-05,1.7863880480437285e-06
Albania,2009.0,1.0,% of GDP (annualized),12187000000.0,-5.306801194611412e-06,-1.0999745941095037e-05,0.0,-5.195619219543005e-06,-4.4344503133054274e-07
Albania,2009.0,2.0,% of GDP (annualized),12187000000.0,-1.4486242997694322e-05,-1.9870541982598833e-05,0.0,-4.5811731183677355e-06,-7.23931839585799e-07
Albania,2009.0,3.0,% of GDP (annualized),12187000000.0,-8.09664806612087e-06,-8.909581679952395e-06,0.0,-1.2773803784956737e-06,6.408027257062089e-07
Albania,2009.0,4.0,% of GDP (annualized),12187000000.0,-3.3160642894383585e-06,-2.6034694326237057e-06,0.0,7.368492767198457e-07,9.21667956397437e-09
Albania,2010.0,1.0,% of GDP (annualized),12079000000.0,-6.793296243118867e-06,-4.0991502408087525e-06,0.0,1.8363973260689404e-06,9.475077475403086e-07
Albania,2010.0,2.0,% of GDP (annualized),12079000000.0,-7.1828612622983756e-06,-6.8659888895459795e-06,0.0,-7.078078764535631e-07,9.60295822869816e-07
Albania,2010.0,3.0,% of GDP (annualized),12079000000.0,-1.0319336982040007e-05,-6.640425156607922e-06,0.0,3.1804096536187434e-06,5.698999957351507e-07
Albania,2010.0,4.0,% of GDP (annualized),12079000000.0,-1.0260732950500138e-05,-1.7076033041065547e-05,0.0,6.135209426828943e-06,-1.2997288240296858e-05
