COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Gross domestic product (GDP), Current prices, US dollar"
"Afghanistan, Islamic Republic of",2008.0,2.0,"US dollar, Nominal (Current Prices)",-10077387.9791732,-13957784.8191679,0.0,-4696028.10251976,0.0,10297000000.0
"Afghanistan, Islamic Republic of",2008.0,3.0,"US dollar, Nominal (Current Prices)",-21440383.3256613,-99766135.8315953,0.0,-97231036.6534915,0.0,10297000000.0
"Afghanistan, Islamic Republic of",2008.0,4.0,"US dollar, Nominal (Current Prices)",-10270768.5058082,-70901668.1243827,0.0,-61433847.6402963,0.0,10297000000.0
"Afghanistan, Islamic Republic of",2009.0,1.0,"US dollar, Nominal (Current Prices)",-6163236.32288332,-305499613.674819,0.0,-300194943.85251,0.0,12066000000.0
"Afghanistan, Islamic Republic of",2009.0,2.0,"US dollar, Nominal (Current Prices)",-12915365.018237,267488650.06072,0.0,279582586.507529,0.0,12066000000.0
"Afghanistan, Islamic Republic of",2009.0,3.0,"US dollar, Nominal (Current Prices)",-25585276.9172511,-137802174.474116,0.0,-113244207.766732,0.0,12066000000.0
"Afghanistan, Islamic Republic of",2009.0,4.0,"US dollar, Nominal (Current Prices)",-11196257.2071952,-85309160.3671793,0.0,-75464860.7456281,0.0,12066000000.0
"Afghanistan, Islamic Republic of",2010.0,1.0,"US dollar, Nominal (Current Prices)",-147480869.693708,-84974301.0784149,0.0,53864516.0495856,0.0,15325000000.0
"Afghanistan, Islamic Republic of",2010.0,2.0,"US dollar, Nominal (Current Prices)",-14482607.3779303,23480535.2224729,0.0,37501931.1232514,0.0,15325000000.0
"Afghanistan, Islamic Republic of",2010.0,3.0,"US dollar, Nominal (Current Prices)",-10126862.7963528,57932698.5890954,0.0,67500963.3569707,0.0,15325000000.0
"Afghanistan, Islamic Republic of",2010.0,4.0,"US dollar, Nominal (Current Prices)",-19932139.6004629,90363787.6920666,0.0,99840165.4935731,9981996.02521271,15325000000.0
"Afghanistan, Islamic Republic of",2011.0,1.0,"US dollar, Nominal (Current Prices)",-10373974.891072,68349436.3364978,0.0,78596837.1230116,-43291.3267243962,17890000000.0
"Afghanistan, Islamic Republic of",2011.0,2.0,"US dollar, Nominal (Current Prices)",-10825159.3352938,92477171.2360839,0.0,76020324.0156972,27208077.4406562,17890000000.0
"Afghanistan, Islamic Republic of",2011.0,3.0,"US dollar, Nominal (Current Prices)",-19122588.4031683,88863832.0374654,150238.770885082,83492128.366406,24171421.7243955,17890000000.0
"Afghanistan, Islamic Republic of",2011.0,4.0,"US dollar, Nominal (Current Prices)",-10714560.9817267,35574040.1170484,-75980.1009436147,6928224.90136643,27034365.0102375,17890000000.0
