COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Gross domestic product (GDP), Current prices, US dollar"
"Afghanistan, Islamic Republic of",2008.0,2.0,"US dollar, Nominal (Current Prices)",-10.077387979173201,-13.957784819167902,0.0,-4.69602810251976,0.0,10297000000.0
"Afghanistan, Islamic Republic of",2008.0,3.0,"US dollar, Nominal (Current Prices)",-21.4403833256613,-99.7661358315953,0.0,-97.2310366534915,0.0,10297000000.0
"Afghanistan, Islamic Republic of",2008.0,4.0,"US dollar, Nominal (Current Prices)",-10.270768505808201,-70.90166812438271,0.0,-61.4338476402963,0.0,10297000000.0
"Afghanistan, Islamic Republic of",2009.0,1.0,"US dollar, Nominal (Current Prices)",-6.1632363228833205,-305.499613674819,0.0,-300.19494385251,0.0,12066000000.0
"Afghanistan, Islamic Republic of",2009.0,2.0,"US dollar, Nominal (Current Prices)",-12.915365018237,267.48865006072,0.0,279.582586507529,0.0,12066000000.0
"Afghanistan, Islamic Republic of",2009.0,3.0,"US dollar, Nominal (Current Prices)",-25.5852769172511,-137.802174474116,0.0,-113.244207766732,0.0,12066000000.0
"Afghanistan, Islamic Republic of",2009.0,4.0,"US dollar, Nominal (Current Prices)",-11.1962572071952,-85.3091603671793,0.0,-75.4648607456281,0.0,12066000000.0
"Afghanistan, Islamic Republic of",2010.0,1.0,"US dollar, Nominal (Current Prices)",-147.480869693708,-84.9743010784149,0.0,53.8645160495856,0.0,15325000000.0
"Afghanistan, Islamic Republic of",2010.0,2.0,"US dollar, Nominal (Current Prices)",-14.4826073779303,23.4805352224729,0.0,37.5019311232514,0.0,15325000000.0
"Afghanistan, Islamic Republic of",2010.0,3.0,"US dollar, Nominal (Current Prices)",-10.1268627963528,57.9326985890954,0.0,67.5009633569707,0.0,15325000000.0
"Afghanistan, Islamic Republic of",2010.0,4.0,"US dollar, Nominal (Current Prices)",-19.9321396004629,90.3637876920666,0.0,99.8401654935731,9.98199602521271,15325000000.0
"Afghanistan, Islamic Republic of",2011.0,1.0,"US dollar, Nominal (Current Prices)",-10.373974891071999,68.3494363364978,0.0,78.59683712301161,-0.043291326724396194,17890000000.0
"Afghanistan, Islamic Republic of",2011.0,2.0,"US dollar, Nominal (Current Prices)",-10.8251593352938,92.47717123608389,0.0,76.0203240156972,27.2080774406562,17890000000.0
"Afghanistan, Islamic Republic of",2011.0,3.0,"US dollar, Nominal (Current Prices)",-19.122588403168297,88.8638320374654,0.150238770885082,83.49212836640599,24.171421724395497,17890000000.0
"Afghanistan, Islamic Republic of",2011.0,4.0,"US dollar, Nominal (Current Prices)",-10.7145609817267,35.5740401170484,-0.0759801009436147,6.9282249013664305,27.0343650102375,17890000000.0
