Indicator,Our_F,Baseline_F,F_Diff,F_Match,Our_P,Baseline_P,P_Diff,P_Match
"Assets - Direct investment, Total financial assets/liabilities",1.5333343088989004,1.5333343088989004,0.0,True,0.0016727003235665894,0.0016727003235665,8.933825901280557e-17,True
"Liabilities - Direct investment, Total financial assets/liabilities",0.6764493787623708,0.6764493787623708,0.0,True,0.012314897013146881,0.0123148970131468,8.153200337090993e-17,True
"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",3.3878420944254084,3.3878420944254084,0.0,True,2.220446049250313e-16,2.220446049250313e-16,0.0,True
"Assets - Portfolio investment, Total financial assets/liabilities",0.6244867582568487,0.6244867582568487,0.0,True,0.002783520197319158,0.0027835201973191,5.767955557622884e-17,True
"Liabilities - Portfolio investment, Total financial assets/liabilities",2.0649676998088626,2.064967699808862,4.440892098500626e-16,True,3.412024129900715e-08,3.4120241299007155e-08,6.617444900424222e-24,True
"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",3.8137822817589795,3.813782281758979,4.440892098500626e-16,True,2.220446049250313e-16,2.220446049250313e-16,0.0,True
"Assets - Portfolio investment, Debt securities",0.4826037308115338,0.4826037308115338,0.0,True,6.975348104589267e-06,6.975348104589267e-06,0.0,True
"Liabilities - Portfolio investment, Debt securities",7.925142436375091,7.925142436375091,0.0,True,2.220446049250313e-16,2.220446049250313e-16,0.0,True
"Assets - Portfolio investment, Equity and investment fund shares",1.45381258558963,1.45381258558963,0.0,True,0.006204564261547141,0.0062045642615471,4.0766001685454967e-17,True
"Liabilities - Portfolio investment, Equity and investment fund shares",0.05386572491303225,0.0538657249130322,4.85722573273506e-17,True,2.966140780593711e-45,2.966140780593711e-45,0.0,True
"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities",4.270058171195884,4.270058171195884,0.0,True,2.220446049250313e-16,2.220446049250313e-16,0.0,True
"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",2.8202595251773115,2.8202595251773115,0.0,True,4.440892098500626e-16,4.440892098500626e-16,0.0,True
"Assets - Other investment, Debt instruments",2.397395869004672,2.397395869004672,0.0,True,1.3625101047409771e-11,1.3625101047409771e-11,0.0,True
"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",2.6998398314808796,2.6998398314808796,0.0,True,8.43769498715119e-15,8.437694987151191e-15,1.5777218104420236e-30,True
