Regime,Regime_StdDev,Regime_N,Iceland_StdDev,Iceland_N,F_Statistic,P_Value,Significance,Indicator,Period
Hard Peg,1.5809469832473113,72,20.886100825453326,72,174.53403453908723,2.220446049250313e-16,***,Net Capital Flows,Crisis-Excluded
Crawling/Tight,1.9356067323902277,72,20.886100825453326,72,116.43418091694579,2.220446049250313e-16,***,Net Capital Flows,Crisis-Excluded
Managed Float,1.4562309217331006,72,20.886100825453326,72,205.70945001090635,2.220446049250313e-16,***,Net Capital Flows,Crisis-Excluded
Free Float,1.3213676999686614,72,20.886100825453326,72,249.8431042597587,2.220446049250313e-16,***,Net Capital Flows,Crisis-Excluded
Freely Falling,6.903531982537646,72,20.886100825453326,72,9.153181159775201,2.220446049250313e-16,***,Net Capital Flows,Crisis-Excluded
Hard Peg,1.5946071457686075,72,14.742825074841361,72,85.47793334125085,2.220446049250313e-16,***,Net Direct Investment,Crisis-Excluded
Crawling/Tight,1.3051664958086429,72,14.742825074841361,72,127.59380587126935,2.220446049250313e-16,***,Net Direct Investment,Crisis-Excluded
Managed Float,2.3063430867379746,72,14.742825074841361,72,40.86143366637117,2.220446049250313e-16,***,Net Direct Investment,Crisis-Excluded
Free Float,0.9902910473520089,72,14.742825074841361,72,221.63366059671253,2.220446049250313e-16,***,Net Direct Investment,Crisis-Excluded
Freely Falling,1.5536756410089065,72,14.742825074841361,72,90.04108334521285,2.220446049250313e-16,***,Net Direct Investment,Crisis-Excluded
Hard Peg,2.450764785259131,72,34.65363006316657,72,199.9374767781146,2.220446049250313e-16,***,Net Portfolio Investment,Crisis-Excluded
Crawling/Tight,1.4281250325235635,72,34.65363006316657,72,588.7962108427259,2.220446049250313e-16,***,Net Portfolio Investment,Crisis-Excluded
Managed Float,3.502298088486359,72,34.65363006316657,72,97.9019304832187,2.220446049250313e-16,***,Net Portfolio Investment,Crisis-Excluded
Free Float,1.7792841387451952,72,34.65363006316657,72,379.3209723505755,2.220446049250313e-16,***,Net Portfolio Investment,Crisis-Excluded
Freely Falling,3.1318004636032155,72,34.65363006316657,72,122.43604762164685,2.220446049250313e-16,***,Net Portfolio Investment,Crisis-Excluded
Hard Peg,2.3999414995806334,72,34.41103134063591,72,205.5862510860748,2.220446049250313e-16,***,Net Other Investment,Crisis-Excluded
Crawling/Tight,1.7885997771990145,72,34.41103134063591,72,370.1425679605456,2.220446049250313e-16,***,Net Other Investment,Crisis-Excluded
Managed Float,2.793161949677763,72,34.41103134063591,72,151.7760143335076,2.220446049250313e-16,***,Net Other Investment,Crisis-Excluded
Free Float,1.4633572314072787,72,34.41103134063591,72,552.9612041807454,2.220446049250313e-16,***,Net Other Investment,Crisis-Excluded
Freely Falling,5.367693516487757,72,34.41103134063591,72,41.09793085066701,2.220446049250313e-16,***,Net Other Investment,Crisis-Excluded
