Regime,Regime_StdDev,Regime_N,Iceland_StdDev,Iceland_N,F_Statistic,P_Value,Significance,Indicator,Period
Hard Peg,1.6620475998988664,84,31.696280042394932,84,363.688589473876,2.220446049250313e-16,***,Net Capital Flows,Full
Crawling/Tight,1.90654325339929,84,31.696280042394932,84,276.3905980488708,2.220446049250313e-16,***,Net Capital Flows,Full
Managed Float,1.8235917771124606,84,31.696280042394932,84,302.10738388826474,2.220446049250313e-16,***,Net Capital Flows,Full
Free Float,1.3426001869415214,84,31.696280042394932,84,557.3438123326633,2.220446049250313e-16,***,Net Capital Flows,Full
Freely Falling,7.185600668068685,84,31.696280042394932,84,19.457652116476172,2.220446049250313e-16,***,Net Capital Flows,Full
Hard Peg,1.523728541576769,84,19.691301366964694,84,167.00659929277344,2.220446049250313e-16,***,Net Direct Investment,Full
Crawling/Tight,1.237895132545576,84,19.691301366964694,84,253.03530879948892,2.220446049250313e-16,***,Net Direct Investment,Full
Managed Float,2.159203767717824,84,19.691301366964694,84,83.16901903774236,2.220446049250313e-16,***,Net Direct Investment,Full
Free Float,0.9473942296311184,84,19.691301366964694,84,432.00360149905754,2.220446049250313e-16,***,Net Direct Investment,Full
Freely Falling,1.6109264785251944,84,19.691301366964694,84,149.41610048545513,2.220446049250313e-16,***,Net Direct Investment,Full
Hard Peg,2.3705192679434965,84,34.09314440073846,84,206.8460045698862,2.220446049250313e-16,***,Net Portfolio Investment,Full
Crawling/Tight,1.406264762137119,84,34.09314440073846,84,587.7598648382265,2.220446049250313e-16,***,Net Portfolio Investment,Full
Managed Float,3.5183996444280723,84,34.09314440073846,84,93.89528394323962,2.220446049250313e-16,***,Net Portfolio Investment,Full
Free Float,1.787226891476035,84,34.09314440073846,84,363.89386606191175,2.220446049250313e-16,***,Net Portfolio Investment,Full
Freely Falling,3.0916787887940647,84,34.09314440073846,84,121.6033062573418,2.220446049250313e-16,***,Net Portfolio Investment,Full
Hard Peg,2.3021734921771606,84,35.47203983863565,84,237.40848083003058,2.220446049250313e-16,***,Net Other Investment,Full
Crawling/Tight,1.746300469577739,84,35.47203983863565,84,412.6049040222346,2.220446049250313e-16,***,Net Other Investment,Full
Managed Float,2.7417443488206548,84,35.47203983863565,84,167.38572321291866,2.220446049250313e-16,***,Net Other Investment,Full
Free Float,1.5451449197327074,84,35.47203983863565,84,527.0282443447574,2.220446049250313e-16,***,Net Other Investment,Full
Freely Falling,5.8687410918919305,84,35.47203983863565,84,36.53275515893046,2.220446049250313e-16,***,Net Other Investment,Full
