Indicator,Mean_Eurozone,Mean_Iceland,StdDev_Eurozone,StdDev_Iceland,Skew_Eurozone,Skew_Iceland,CV_Eurozone,CV_Iceland,CV_Ratio_Iceland_Eurozone
"Assets - Direct investment, Total financial assets/liabilities",6.314955850738562,3.1049966141638574,18.611248463035874,23.045913829918977,0.36921754465190687,0.43767862320650835,294.71700044995896,742.220256369748,2.52
"Assets - Other investment, Debt instruments",4.235596261201277,7.965583683835701,22.458304800284054,34.773375318648,0.03500420767893813,1.472474587773195,530.2277038537793,436.54522629914084,0.82
"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",2.211203850176877,10.346893168063632,17.274208465973025,29.009663668871788,-0.1772733924320548,2.9910496008974543,781.2128431574157,280.3707663515076,0.36
"Assets - Portfolio investment, Debt securities",5.245029383584146,1.2142897900177188,18.660776215082475,12.963582689025937,1.4301815568392873,-0.6423338551170767,355.780203510143,1067.58557929049,3.0
"Assets - Portfolio investment, Equity and investment fund shares",3.2403674483708556,3.623059998217133,8.23437525824218,9.92852804634919,2.971796480649126,-1.3417236382924558,254.11856492948473,274.0370860884144,1.08
"Assets - Portfolio investment, Total financial assets/liabilities",8.48539980292305,4.837336132481724,23.348595494844407,18.451104911497207,2.3445199185653247,-0.2409014489575162,275.16199633635745,381.4311101434901,1.39
"Liabilities - Direct investment, Total financial assets/liabilities",5.611882359036934,3.938255188953618,19.099179950961965,15.708415195483553,2.1672898605972306,-0.4167992127017476,340.33464582888394,398.8673776027508,1.17
"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",1.9161078745382243,9.162277678013028,20.17771983241569,33.15439350288868,-0.2618703269194876,3.8460264298916296,1053.057612284927,361.8575497056829,0.34
"Liabilities - Portfolio investment, Debt securities",4.053233134394907,11.068983247739961,11.668958322476932,32.85001913727192,0.5612022028661982,0.08361882967535228,287.89260167288523,296.77539844483147,1.03
"Liabilities - Portfolio investment, Equity and investment fund shares",4.727565098148762,0.18880223563243997,18.177939726374106,4.218916339831609,3.70212808915298,-3.3684832232387625,384.50955933937945,2234.5690588351886,5.81
"Liabilities - Portfolio investment, Total financial assets/liabilities",8.773909721734583,11.257777440932507,23.576768324517854,33.8798054162535,2.6688099322269294,0.2040085558966792,268.71450781074117,300.945773657497,1.12
"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",0.7030750647687029,-0.8332585754188803,9.8009057285124,18.039636898933118,-3.585855081137473,-0.18590020597957213,1394.0055933766753,2164.9506445060665,1.55
"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",-0.28850509242346734,-6.420441309058723,15.932956502031104,31.115323374288234,-3.159575284409757,-0.3561638335397526,5522.591080868941,484.62904458587656,0.09
