COUNTRY,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT,FREQUENCY,SCALE,BOP_ACCOUNTING_ENTRY
Iceland,"Financial derivatives, Total financial assets/liabilities",2007-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2007-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2008-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2008-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2008-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2008-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2009-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2009-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2009-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2009-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2010-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2010-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2010-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2010-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2011-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2011-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2011-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2011-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
