YEAR,QUARTER,UNIT,iceland_pgdp,eurozone_pgdp_weighted,eurozone_pgdp_simple,soe_pgdp_weighted,soe_pgdp_simple,baltics_pgdp_weighted,baltics_pgdp_simple
1999,1,Percentage of Nominal GDP (%),1.8650976241683364,1.1134830517713037,2.659904406662169,0.5831194124061176,1.1950456474765057,-0.6215691339968468,-0.807765272261038
1999,2,Percentage of Nominal GDP (%),7.743356011133379,2.735925155428313,3.254343450595157,1.0525586314034834,3.367185262149023,-0.1689038169338626,-0.3921572246987808
1999,3,Percentage of Nominal GDP (%),2.911872710131374,0.9391548682342112,-0.22757381210437772,0.16285905266315628,0.13541674281014932,-0.6215691339968468,-0.807765272261038
1999,4,Percentage of Nominal GDP (%),2.714547934090403,0.7767349167179395,-1.61395284529974,0.8624052159771292,2.5571076651998226,0.26952801127595816,0.41794554451886234
2000,1,Percentage of Nominal GDP (%),10.69389020385553,2.9657212426393196,2.993768224139477,-1.031321759243139,-1.4190003729922958,-0.05688644283280918,-0.1967583848316067
2000,2,Percentage of Nominal GDP (%),8.68645930432085,1.932387357309831,2.063546808440059,0.13582022974758107,0.6212372865894555,-0.6215691339968468,-0.807765272261038
2000,3,Percentage of Nominal GDP (%),6.478955886860183,0.4376690187077332,-0.8258964625433188,0.4549962230756061,1.6326572682502405,0.09167719957926246,0.14337942295988998
2000,4,Percentage of Nominal GDP (%),2.9871836626191004,0.799021099774135,1.114137636542346,0.3717548623473252,0.6446636478973192,1.1427654916058132,1.5165689496114902
2001,1,Percentage of Nominal GDP (%),2.41854806756527,1.2754782032241083,1.2667278550186032,2.091069092319194,4.076577336618941,-0.5764074791859781,-0.7523134562550504
2001,2,Percentage of Nominal GDP (%),-0.13301910032786882,1.5380606444469411,1.7839103942522545,0.5586861484743213,1.3827065518992854,0.2923104826232382,0.12174959147720772
2001,3,Percentage of Nominal GDP (%),-0.19233351980570737,-0.6872860041729125,0.3023457694101526,0.3502359234274331,0.848148481257748,0.3527624264676917,0.41726741718889393
2001,4,Percentage of Nominal GDP (%),-3.841574679446855,0.103212363663538,-1.0317399662736626,-0.06237378564766922,-0.571508318091099,-0.6215691339968468,-0.7009866260595413
2002,1,Percentage of Nominal GDP (%),3.4111347164627603,2.335009584462666,1.7935159599682298,-0.1072327002684074,0.02785806337674068,-0.36838672136979167,-0.4535957881968945
2002,2,Percentage of Nominal GDP (%),-0.4315895820176003,0.7334882353001454,0.40365551314083015,-0.29512078102914463,-0.5450430610858609,-0.6168936439971879,-0.807765272261038
2002,3,Percentage of Nominal GDP (%),3.5526002348143377,-0.3555832131158629,0.849931779143961,-0.04817738665126565,-0.06008456637371728,0.29684377287906477,0.38436609287672735
2002,4,Percentage of Nominal GDP (%),2.475056114187594,0.5609404729286455,-0.32352839461535055,-0.1083270976583385,-0.43674150312429794,-0.24963034441580773,-0.35286773199778604
