YEAR,QUARTER,UNIT,iceland_pgdp,eurozone_pgdp_weighted,eurozone_pgdp_simple,soe_pgdp_weighted,soe_pgdp_simple,baltics_pgdp_weighted,baltics_pgdp_simple
1999,1,Percentage of Nominal GDP (%),-6.556196209763421,0.24311141680232992,-1.699308427750212,-7.040075881935212,-5.628347283160773,4.055737896500934,5.157708768422933
1999,2,Percentage of Nominal GDP (%),1.9761532541351536,-3.973665384519044,-4.7012637273747275,-1.9417459530454029,-0.3769041173275198,-1.5432543724370755,-1.661438160576888
1999,3,Percentage of Nominal GDP (%),2.7928224281377054,-0.9554903188223866,-0.4168164882999766,-3.4556134585963143,-2.5229703030265394,-2.192315799743239,-2.3036810048142424
1999,4,Percentage of Nominal GDP (%),-14.25930574550395,-2.5417375891712055,-0.02106049910107425,-5.801397502651337,-4.133607883820942,-6.707068268686403,-8.687713326779708
2000,1,Percentage of Nominal GDP (%),-15.434556010442012,-2.5467790895993594,-2.049677164879097,-2.0846191946294748,0.1042241375795809,2.099704332764469,2.813357621792593
2000,2,Percentage of Nominal GDP (%),-9.867479495109617,-2.8115141720240633,-5.734327777948362,-0.21404595673005464,1.2865679299518176,2.7663296124447103,3.236023149863203
2000,3,Percentage of Nominal GDP (%),-4.412673376203971,-5.342938639076715,-9.26320214849992,0.4847355034653844,1.0403239520644003,0.05046220681839972,-0.6425151898470468
2000,4,Percentage of Nominal GDP (%),2.209979907805492,-2.016534725329597,-3.342539797206281,-10.415974701141364,-10.771468229844594,-9.170370359518945,-9.627826263336669
2001,1,Percentage of Nominal GDP (%),-4.496344319604292,-5.257231389782654,-6.102868691366371,-4.444153716009006,-4.539086492732421,6.999497692482907,8.178424201862455
2001,2,Percentage of Nominal GDP (%),7.893118663979632,0.5677010455225836,-0.9057767915300956,9.993647441648465,12.801651629065798,-3.433415994204503,-4.02971022387914
2001,3,Percentage of Nominal GDP (%),-7.9906278902276,2.0111168450015047,2.2751595667389037,-6.351770953894207,-8.670203186526095,-1.6362079592612322,-2.245156748051846
2001,4,Percentage of Nominal GDP (%),22.185690357210316,1.3088120871457294,-0.03097408306097565,-10.795796414033488,-10.262317810141178,-9.76344929730403,-10.009336782074383
2002,1,Percentage of Nominal GDP (%),-10.517102481695527,-5.342938639076715,-4.17312372988975,-0.23098028355381792,-0.2861301555415864,-3.8941796294457625,-4.60337455669371
2002,2,Percentage of Nominal GDP (%),10.364163539608173,1.958477588203288,2.559576164259529,-14.505874926095135,-14.521974794840062,-0.6666871353963889,-0.7327361072117353
2002,3,Percentage of Nominal GDP (%),4.076795093496362,1.5539363790716236,-0.2589430429903266,-0.6792537292839644,0.13729787474041616,-1.620244627664879,-2.542614412964498
2002,4,Percentage of Nominal GDP (%),-9.407715818511566,4.45513602837331,5.837659957762229,-9.37190717868852,-9.453236202250102,-10.113785313105575,-10.424902351549417
2003,1,Percentage of Nominal GDP (%),8.98480432358444,-2.0952962867218883,-0.9288101951508012,-0.7263985517305507,1.3458900885209737,3.848156164495252,5.086077240880706
2003,2,Percentage of Nominal GDP (%),20.343472369701747,1.0487055653179056,2.6578835121322006,-1.0330014025289933,-1.5992349078713368,-6.533950042969214,-8.363510206208817
2003,3,Percentage of Nominal GDP (%),24.670264563075964,-2.6998208427752237,-3.99552015453834,-9.460653986949684,-9.474412381255757,-11.46249261161641,-10.903854757613336
2003,4,Percentage of Nominal GDP (%),35.15961714010695,-1.3366825029679303,3.11904805851346,0.7492761621379899,1.9726804357541865,-9.64046502195112,-8.785701689076177
2004,1,Percentage of Nominal GDP (%),29.107806623901222,-0.29726010315597395,-0.9911418365092148,-2.3389919335609073,-2.296460847807092,-0.9842399100652952,-1.9811293830381933
2004,2,Percentage of Nominal GDP (%),0.04606000043015803,-1.6451043186769394,-1.419887315116012,3.3722743533885393,2.023129602102593,-5.409976311132065,-4.673961232103255
2004,3,Percentage of Nominal GDP (%),17.356621532958368,0.8191859736807656,-1.757058244952365,-5.795043465606558,-6.945448454272517,-10.026713897133387,-11.4954463998058
2004,4,Percentage of Nominal GDP (%),39.44336567472298,-1.718609349836999,-1.7703764068696812,12.527906687116731,14.19892659378437,-0.7132410536310569,-0.22352911082776872
2005,1,Percentage of Nominal GDP (%),19.359294399555555,-1.7187475439080817,-2.49002912497524,-7.67191414420077,-6.159396542903266,-0.09773018677281611,-0.357016108109927
2005,2,Percentage of Nominal GDP (%),45.80921653673053,2.2585652009281443,-1.982994572779461,-10.384254229418332,-12.034683769627517,-11.020441335282325,-12.287975160534758
