Indicator,Original_Mean,Winsorized_Mean,Original_SD,Winsorized_SD,Original_Min,Winsorized_Min,Original_Max,Winsorized_Max,N_Observations,N_Lower_Winsorized,N_Upper_Winsorized,Pct_Data_Affected,Dataset
iceland_pgdp,-5.771426367963984,-6.115585676746226,28.628107113331808,19.17093433941021,-139.02296125426193,-60.329221931036415,89.30160691172959,16.579893907892505,105,6,6,11.43,net_capital_flows_full.csv
eurozone_pgdp_weighted,0.26730440504123415,0.2924533419638207,2.161150582977641,2.0654285257880094,-4.594664753312257,-2.7492474218799963,4.758485421310731,4.195728026651665,105,6,6,11.43,net_capital_flows_full.csv
eurozone_pgdp_simple,-0.036449985576863755,0.011522469515658882,3.0659055530601202,2.8617520384407147,-9.058230277990846,-5.451916142721844,6.084601152697654,4.8985404880425385,105,6,6,11.43,net_capital_flows_full.csv
soe_pgdp_weighted,-2.305881002712252,-0.9826435337595099,16.19299640685551,9.916046438474325,-75.75277709618716,-20.878765663143156,30.04697798625233,19.76906043209071,105,6,6,11.43,net_capital_flows_full.csv
soe_pgdp_simple,-4.385820477281213,-3.729501613465452,13.198366502849499,10.236451255636572,-52.09448203811405,-25.37051794624607,29.59344526124483,15.652446918487993,105,6,6,11.43,net_capital_flows_full.csv
baltics_pgdp_weighted,-3.0348133952654925,-2.8673779968401503,8.078849126153642,7.190779415412577,-29.134223634959305,-16.305754447731612,12.38033018598731,8.02730105046724,105,6,6,11.43,net_capital_flows_full.csv
baltics_pgdp_simple,-3.121815326937271,-3.0099703854239674,8.160567716476713,7.086135234103683,-29.80214438353834,-16.458724405128017,14.976094143576614,6.985746021972869,105,6,6,11.43,net_capital_flows_full.csv
iceland_pgdp,-4.283319144878359,-4.147405070089552,19.762521916791375,13.792866342348818,-77.77718529023396,-37.54665937507931,86.16024926220328,15.49738718971631,81,4,4,9.88,net_capital_flows_no_crises.csv
eurozone_pgdp_weighted,0.5038553329350115,0.5091286207800612,2.0030846535261198,1.9529352939815783,-2.75864890739277,-2.28779995572915,4.758485421310731,4.290502752536203,81,4,4,9.88,net_capital_flows_no_crises.csv
eurozone_pgdp_simple,0.16149932785168494,0.20640604060292858,2.9309972481528743,2.702607392998532,-9.058230277990846,-5.205252225698957,6.084601152697654,4.934145771642669,81,4,4,9.88,net_capital_flows_no_crises.csv
soe_pgdp_weighted,-2.426247594700433,-0.669775923647324,17.46561867426606,10.112662478123049,-75.75277709618716,-22.29975267474172,29.593289875951072,19.83261230913038,81,4,4,9.88,net_capital_flows_no_crises.csv
soe_pgdp_simple,-4.063994823705145,-3.7534975396234076,14.049334857535285,12.514527721769664,-52.09448203811405,-37.00131671909297,22.830798688260312,15.857670525067633,81,4,4,9.88,net_capital_flows_no_crises.csv
baltics_pgdp_weighted,-4.120338247016919,-3.85726651797842,7.889027778826981,6.944220893719064,-29.134223634959305,-16.685351167146806,8.564056986522326,5.396608366358064,81,4,4,9.88,net_capital_flows_no_crises.csv
baltics_pgdp_simple,-4.2135308861624505,-3.97891826319322,7.9652357466642325,7.069745086187429,-29.80214438353834,-17.68039928924987,7.608200782488146,4.420408039468105,81,4,4,9.88,net_capital_flows_no_crises.csv
