YEAR,QUARTER,UNIT,iceland_pgdp,hard_peg_pgdp_weighted,hard_peg_pgdp_simple,crawl_tight_pgdp_weighted,crawl_tight_pgdp_simple,managed_float_pgdp_weighted,managed_float_pgdp_simple,free_float_pgdp_weighted,free_float_pgdp_simple,freely_falling_pgdp_weighted,freely_falling_pgdp_simple,dual_market_pgdp_weighted,dual_market_pgdp_simple
1999,1,Percentage of Nominal GDP (%),-10.58946982232427,3.4258274017532644,-2.700149805923229,-1.105916636254813,-3.736443279063409,-0.757219741920367,-2.740514997655928,-0.08953826428307357,-0.8798454805876668,3.169883480356609,-3.936475757136293,NA,NA
1999,2,Percentage of Nominal GDP (%),-6.040192143828137,-0.7399006976240705,-2.7005285166620885,-1.536779171919805,-4.100622350627144,0.16369785211805898,-1.3380298674796134,-1.9953569747783944,-2.917522959694242,-6.044614326639887,4.265013655650931,NA,NA
1999,3,Percentage of Nominal GDP (%),-15.89503482425742,0.3748321802245188,-0.2041650430062955,1.336060075514531,-3.5892108695116693,-1.531014263145391,-0.31086958430330536,-0.9219085598325762,-2.1857824077677357,-1.043683787060152,-6.254459671121617,NA,NA
1999,4,Percentage of Nominal GDP (%),-6.696506793474925,-1.3289456278594256,-3.995545189638896,-2.156322609974058,-7.20259619218413,-0.7143709246687066,-3.9933947032748334,-3.151656144227792,-4.539782719613209,5.871920749390709,-4.316790734381197,NA,NA
2000,1,Percentage of Nominal GDP (%),-9.461852761725456,-1.3885127999156932,-0.01912234314189039,0.3658308169363545,-2.3361658824906537,-0.09272242373867978,-0.2324266683556886,-0.26650857569494657,-0.14123724287608785,1.492855728953602,-4.688097535073684,NA,NA
2000,2,Percentage of Nominal GDP (%),-23.87175970225067,-1.7437613621841814,-0.7789149439261243,1.3779181432531633,-3.5928142488438755,0.5452351866588918,-0.671606937879256,-2.851400828267451,-2.594110109602793,-3.9036324431912415,-2.6816361406302933,NA,NA
2000,3,Percentage of Nominal GDP (%),-8.097728017405988,1.423596566292784,0.5150603634478419,1.3779181432531633,-2.168656122000226,-1.5613585353146342,-2.5852216655107583,-3.734042248483554,-2.8234043504883535,-3.032841267208493,-1.8963858782876448,NA,NA
2000,4,Percentage of Nominal GDP (%),-3.891172645506406,-0.43907804934592426,-1.6907939306988782,-0.12547042060043911,-5.631622359048046,-2.1928383752598903,-1.6658452838125306,-3.505249639340861,-1.812481211058922,-6.428821529106077,-8.169602397096305,NA,NA
2001,1,Percentage of Nominal GDP (%),-7.234770333074709,-0.3597429102288496,0.2696493461584999,0.5391731440705921,-2.0012445658100866,0.2255630805991791,0.7494487641801095,-2.351208814546607,-0.14123724287608785,1.4210188791390983,-1.2494394345826625,NA,NA
2001,2,Percentage of Nominal GDP (%),11.48854669480852,-0.3722781828240779,-0.7766330543671879,0.5440162767963451,-3.0003080370692303,0.6895431698872335,1.5040355029418415,-2.5431754166890337,-1.8533256602804848,4.828361258684103,1.3830472013147492,NA,NA
