YEAR,QUARTER,UNIT,iceland_pgdp,hard_peg_pgdp_weighted,hard_peg_pgdp_simple,crawl_tight_pgdp_weighted,crawl_tight_pgdp_simple,managed_float_pgdp_weighted,managed_float_pgdp_simple,free_float_pgdp_weighted,free_float_pgdp_simple,freely_falling_pgdp_weighted,freely_falling_pgdp_simple,dual_market_pgdp_weighted,dual_market_pgdp_simple
1999,1,Percentage of Nominal GDP (%),-0.1739077514555217,0.8260828683734847,-1.711725349347728,-1.0319017450832375,-2.631790433193181,-1.55442188338214,-3.1289410313080284,1.26672383724533,0.7884194335329018,-3.172347153001678,-2.769066408185525,NA,NA
1999,2,Percentage of Nominal GDP (%),-3.6267727050982863,2.7353213706178514,-1.7576629715331298,-2.771416381248826,-5.835058040596071,1.5140330591921407,-3.403870605691959,-1.8453668265746321,-2.2236156301103813,-2.693734133995376,-2.779561752158027,NA,NA
1999,3,Percentage of Nominal GDP (%),0.29337390882786246,1.7007651190319568,-0.3347552585446479,-2.099527608563729,-3.636353620939227,-0.69101035316211,-2.1904717713923683,0.5036170985295636,0.5678734013496034,-3.9187115853071925,-2.8120459397170783,NA,NA
1999,4,Percentage of Nominal GDP (%),6.075861011538819,2.382384661058375,-2.74741203793975,-1.030445573092425,-3.7065966056023214,-1.300985083474092,-3.467144285560044,-0.7881806558051488,-0.3737133380079896,-1.6293334949708165,-4.918788560661974,NA,NA
2000,1,Percentage of Nominal GDP (%),-0.8978533725903912,-1.834085856088234,-4.200902393536688,0.10818415937005724,-1.8711613418919948,1.5140330591921407,-0.6306224831038737,-0.3810709105752232,-0.947254331994328,-1.4531836559970157,-4.3081139327856715,NA,NA
2000,2,Percentage of Nominal GDP (%),5.5016395613728655,0.7175925413490492,-1.83745293659246,-1.9344209923607247,-2.738972445794921,-0.23091920375503497,-2.708485834565286,-0.7051748567515516,-0.4482217260124856,-1.315309338198706,-1.2114774880904462,NA,NA
2000,3,Percentage of Nominal GDP (%),2.420423445743032,2.7353213706178514,-0.07057517416238356,-0.7772052071304871,-2.90685801903013,-2.6228138622330497,-3.645575860267709,-0.5927672666007565,-0.2303747587410376,-2.951567424116769,-2.269194481004641,NA,NA
2000,4,Percentage of Nominal GDP (%),2.6985668836915946,2.7353213706178514,-1.091835955397764,-2.771416381248826,-4.4826948383151635,-0.2708308218816933,-3.396359714088915,-1.8453668265746321,-2.4150042349358514,-3.9187115853071925,-3.1287003325695526,NA,NA
2001,1,Percentage of Nominal GDP (%),0.42368313475819624,2.7353213706178514,-1.2955583586214996,0.10818415937005724,-3.063861732193793,-0.06983509272753999,-2.006277601678286,-0.05130280572355412,1.0954909270066575,-2.7800979150047707,-1.8101642438985983,NA,NA
2001,2,Percentage of Nominal GDP (%),6.297378502854135,1.4086917692626166,-1.8461372788511772,-0.8152391399814893,-3.001367195161362,-1.2433518286917131,-2.111443198748562,-1.0430994489582497,-2.4150042349358514,-0.2574581119738455,-0.38028089355085537,NA,NA
