COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Other investment, Debt instruments","Liabilities - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Total financial assets/liabilities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Debt securities","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Total financial assets/liabilities"
Portugal,1999,1,US dollar,-1931419800,33648428.57,-1320140014,-619131085.7,13459371.43,1339207457,632590457.1,-1972919529,5427491529,302835857.1,4101743443,-1670083671,5442072514
Portugal,1999,2,US dollar,-1255611822,2918134882,36991930.77,-301220007.7,2440410518,773659809.2,2741630526,1150977503,-2115938440,-133170950.8,-449187730.8,1017806552,324472078.5
Portugal,1999,3,US dollar,2290069600,4779366867,2313138067,962584200,4588527733,257947400,3625943533,2218767067,-3724508800,-89128166.67,606071533.3,2128590333,864018933.3
Portugal,1999,4,US dollar,-87191612.31,-730748750.8,-332158523.1,804446423.1,2807777515,-261574836.9,2003331092,511731724.6,-2705015972,660165064.6,364336380,1170858794,102761543.1
Portugal,2000,1,US dollar,3550241855,4655068440,4549518043,358082187.7,2838023289,183480129.2,2479941102,1329737711,-2002498185,2819280695,651058523.1,4149018406,835525104.6
Portugal,2000,2,US dollar,-915467617.7,5144722708,1071311748,-775487859.7,-897736848.4,-44793522.58,-122248988.7,-553386643.5,1578038473,1942919042,725095146.8,1389532398,680301624.2
Portugal,2000,3,US dollar,-917911800,2703947285,-395589207.7,-34399061.54,-360284907.7,509649253.8,-325885846.2,-775789361.5,1794182631,1131548077,924248469.2,355758715.4,1433897723
Portugal,2000,4,US dollar,5479851317,5723844063,5124715968,866564984.1,4739190063,395077222.2,3871756778,1487400619,-1671480556,1398833857,2672632286,2886234476,3067709508
Portugal,2001,1,US dollar,-2017226141,5026909078,3055843719,670254543.8,4009525459,405291659.4,3339270916,1047849734,-2106778056,967529975,1497455744,2015379709,1902747403
Portugal,2001,2,US dollar,1800876619,2717892766,1223269874,568881567.7,2587887623,-36645745.16,2019006055,-207659222.6,-545323588.7,3283284263,2079209779,3075625040,2042564034
Portugal,2001,3,US dollar,-69441120,95258972.31,-130869803.1,73892473.85,3775638332,448696467.7,3701745858,144223864.6,-3310026720,925881600,16915144.62,1070105465,465611612.3
Portugal,2001,4,US dollar,1320526184,6645633130,3671313638,1058929410,2939380197,359247625.4,1880450787,-260700895.2,850189517.5,937089815.9,3430322089,677284800,3789569714
Portugal,2002,1,US dollar,1719006274,2457100758,2075781161,297166306.5,1651508323,516315500,1355218613,-596085806.5,1606801887,340119548.4,2741994710,-255966258.1,3258310210
Portugal,2002,2,US dollar,4991016444,7722660754,6639374968,669817928.6,2319095270,213165650.8,1649277341,18376349.21,-1962594095,275645238.1,143335523.8,294021587.3,356501174.6
Portugal,2002,3,US dollar,-1356593339,61976345.45,1695003861,-77716369.7,3237526236,3935006.061,3315242606,-894230127.3,-1619254994,433834418.2,1614336236,-460395709.1,1617287491
Portugal,2002,4,US dollar,-5334597025,-1785860787,-1880800225,2335510162,3825559650,39974500,1490049487,-495683800,-2068680375,-461705475,1716904775,-957389275,1756879275
Portugal,2003,1,US dollar,2913569929,4554398076,2784793357,848852233.3,1914478362,-254333728.6,1065626129,1368251071,2904984824,-494716661.9,5074870052,873534409.5,4819463186
Portugal,2003,2,US dollar,3887087423,10039557568,4020144540,-104626109.7,-289996282.3,616384254.8,-184232932.3,-510620904.8,5259736492,7596765355,4354493195,7086144450,4969740210
Portugal,2003,3,US dollar,6979139561,6618091406,6069208230,2561079900,4802727788,166464569.7,2241647888,-1254108076,335178660.6,1194495764,4971441879,-59612312.12,5137906448
