COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Direct investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Other investment, Debt instruments","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Portfolio investment, Total financial assets/liabilities","Liabilities - Portfolio investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Portfolio investment, Debt securities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Equity and investment fund shares"
"Latvia, Republic of",1999,1,US dollar,-95500000,-78600000,-3900000,58700000,-118900000,-62600000,20100000,-24300000,-1400000,-22900000,-100000,-44400000,-1300000
"Latvia, Republic of",1999,2,US dollar,73500000,85000000,11600000,93600000,77600000,-82000000,-18000000,22900000,153000000,-130100000,149500000,40900000,3500000
"Latvia, Republic of",1999,3,US dollar,126000000,131700000,-8100000,30100000,97200000,-38200000,92900000,26400000,-15900000,42300000,-10300000,-66500000,-5600000
"Latvia, Republic of",1999,4,US dollar,171300000,215900000,17900000,165700000,158200000,-147800000,-75800000,-82900000,79700000,-162600000,69600000,-7100000,10100000
"Latvia, Republic of",2000,1,US dollar,91740064.61538377,141062679.9999987,5918713.846153792,86807803.07692228,95685873.84615296,-80889089.23076849,103577492.3076914,106536849.2307683,28607116.92307666,77929732.30769159,22688403.07692287,3945809.230769195,5918713.846153792
"Latvia, Republic of",2000,2,US dollar,121315790.3225844,75589069.35484102,933198.3870968028,69056680.64516342,123182187.096778,-68123482.25806661,1866396.774193606,-933198.3870968028,-12131579.03225844,11198380.64516163,-17730769.35483925,-2799595.161290409,5599190.322580817
"Latvia, Republic of",2000,3,US dollar,51598592.30769465,107723376.9230818,1810476.923077005,60650976.92307967,47977638.46154064,-58840500.00000267,44356684.61538663,50693353.84615614,14483815.38461604,36209538.4615401,19010007.69230855,6336669.230769518,-4526192.307692513
"Latvia, Republic of",2000,4,US dollar,36468666.66666712,247465952.3809555,-1736603.174603196,107669396.8253982,48624888.8888895,-109406000.0000014,103327888.8888902,122430523.8095254,-7814714.285714384,130245238.0952397,3473206.349206393,19102634.92063516,-12156222.22222238
"Latvia, Republic of",2001,1,US dollar,-195721712.5000004,-94167993.75000016,14771450.00000003,21233959.37500004,-152330578.1250003,-6462509.375000011,72010818.75000013,59085800.0000001,32312546.87500006,26773253.12500005,33235762.50000006,-12925018.75000002,0
"Latvia, Republic of",2001,2,US dollar,90741845.161292,230344683.870972,15705319.354839,84634220.96774349,70673937.09677549,-68928901.61290449,141347874.193551,177121101.6129065,4362588.7096775,172758512.903229,5235106.451613,35773227.4193555,-872517.7419355
"Latvia, Republic of",2001,3,US dollar,8012436.923077209,54306516.92307898,-8012436.923077227,72111932.30769505,-11573520.00000044,-80124369.23077227,-27598393.84615489,-18695686.15384686,-7122166.153846424,-11573520.00000044,-5341624.615384818,8902707.69230803,-1780541.538461606
"Latvia, Republic of",2001,4,US dollar,174696476.1904832,227553358.7301679,61815676.19047868,-4479396.825397006,150507733.3333394,66295073.01587568,-135277784.1269896,-173800596.8254038,120047834.9206397,-293848431.7460436,117360196.8254015,-37626933.33333485,2687638.095238203
"Latvia, Republic of",2002,1,US dollar,97302241.9354788,149898048.3870889,-47336225.80644913,-17531935.48387005,132366112.9032189,-29804290.32257908,21914919.35483756,37693661.2903206,4382983.870967512,33310677.41935309,-21038322.58064406,16655338.70967655,25421306.45161157
"Latvia, Republic of",2002,2,US dollar,45022055.5555575,65236039.68254247,-6431722.222222497,80855936.50793996,22970436.50793749,-87287658.73016246,85450023.80952746,84531206.34920996,-3675269.841269998,88206476.19047996,-14701079.36507999,-918817.4603174996,11025809.52380999
"Latvia, Republic of",2002,3,US dollar,-11805018.18181801,171172763.6363611,-2951254.545454502,73781363.63636255,9837515.151515009,-76732618.18181705,21642533.33333302,20658781.81818152,-1967503.030303002,22626284.84848452,16723775.75757551,-1967503.030303002,-18691278.78787851
"Latvia, Republic of",2002,4,US dollar,257835524.9999998,438720137.4999997,9993624.999999993,22985337.49999998,223857199.9999998,-12991712.49999999,53965574.99999996,39974499.99999997,17988524.99999999,21985974.99999998,17988524.99999999,-12991712.49999999,0
"Latvia, Republic of",2003,1,US dollar,3219414.2857143,-8585104.7619048,4292552.3809524,95509290.47619088,42925523.809524,-91216738.09523848,64388285.71428599,63315147.61904789,12877657.1428572,50437490.47619069,10731380.952381,-1073138.0952381,2146276.1904762
"Latvia, Republic of",2003,2,US dollar,135331598.3870915,338897616.1290189,39803411.29032101,121684714.5161242,154664683.8709616,-81881303.22580323,52313054.83870761,53450295.16128821,13646883.8709672,39803411.29032101,3411720.967741801,1137240.3225806,10235162.9032254
"Latvia, Republic of",2003,3,US dollar,191209303.0303021,603996445.4545424,17996169.69696961,28119015.15151501,183335978.7878779,-10122845.4545454,164215048.4848477,160840766.6666659,17996169.69696961,142844596.9696962,15746648.48484841,-3374281.818181801,2249521.212121201
"Latvia, Republic of",2003,4,US dollar,256820962.5,435168853.1249999,23779718.75,71339156.24999999,254442990.625,-47559437.49999999,-13078845.3125,-15456817.1875,20212760.9375,-35669578.125,-2377971.875,-3566957.8125,22590732.8125
"Latvia, Republic of",2004,1,US dollar,348673275.0000001,471146325.0000002,38741475.00000001,131221125,423656775.0000001,-92479650.00000004,-64985700.00000002,-59986800.00000002,24994500.00000001,-84981300.00000003,-1249725,4998900.000000002,26244225.00000001
"Latvia, Republic of",2004,2,US dollar,167440503.174598,203578741.269835,50593533.33333177,157803639.6825348,168645111.1111059,-107210106.349203,36138238.09523698,37342846.03174488,210806388.8888824,-173463542.8571375,213215604.7618982,2409215.873015799,-2409215.873015799
"Latvia, Republic of",2004,3,US dollar,654985503.0303142,1136448727.272747,-14663854.5454548,101424993.9393957,689201163.6363754,-116088848.4848505,180854206.0606092,186964145.4545487,-12219878.787879,199184024.2424277,-12219878.787879,6109939.393939498,1221987.8787879
"Latvia, Republic of",2004,4,US dollar,354266309.0909124,612504387.8787936,10381430.3030304,201140212.121214,380219884.8484884,-190758781.8181836,-162209848.48485,-147935381.8181832,14274466.6666668,-162209848.48485,7786072.7272728,14274466.6666668,6488393.939394
"Latvia, Republic of",2005,1,US dollar,-104903741.93548,399945516.1290176,41961496.77419201,270127135.4838611,55074464.51612701,-228165638.7096691,81300399.99999702,98347258.06451252,18358154.838709,79989103.22580352,17046858.0645155,17046858.0645155,1311296.7741935
"Latvia, Republic of",2005,2,US dollar,-197721210.7692357,234242963.0769289,31484269.23077001,138530784.6153881,-115862110.7692336,-107046515.384618,-12593707.692308,-5037483.076923202,95712178.46154083,-100749661.538464,100749661.538464,7556224.615384803,-5037483.076923202
"Latvia, Republic of",2005,3,US dollar,-241544399.9999976,722193357.5757504,98813618.1818172,257403375.7575732,-120772199.9999988,-158589757.575756,313519751.5151484,339138096.9696936,30498030.30303,308640066.6666636,14639054.5454544,25618345.4545452,15858975.7575756
"Latvia, Republic of",2005,4,US dollar,382661278.1249998,1120650885.9375,53477507.81249998,143795076.5624999,563296415.6249998,-90317568.74999996,-187765471.8749999,-165186079.6874999,-8318723.437499997,-156867356.2499999,-9507112.499999996,22579392.18749999,0
"Latvia, Republic of",2006,1,US dollar,-266910941.5384531,574700135.3845973,-3606904.615384502,388343396.9230647,38473649.23076802,-391950301.5384492,199582055.3846091,226032689.2307621,32462141.53846052,193570547.6923016,10820713.84615351,26450633.84615301,21641427.69230701
"Latvia, Republic of",2006,2,US dollar,439126998.3870981,1201622588.709681,65428664.51612923,456742408.0645175,819116550.0000025,-391313743.5483883,89335291.93548414,100659483.8709681,235291543.5483878,-134632059.6774198,237808030.645162,10065948.38709681,-2516487.096774201
"Latvia, Republic of",2006,3,US dollar,124881098.4615362,1601791232.307663,121058207.6923055,365723216.9230702,411597906.1538386,-244665009.2307647,43326095.38461459,61166252.30769119,3822890.769230699,57343361.53846049,12742969.230769,17840156.9230766,-8920078.461538298
"Latvia, Republic of",2006,4,US dollar,384030707.9365228,1737159041.269909,29639953.96825512,494858361.9047811,681718941.2698677,-465218407.9365259,-158509319.0476252,-139178914.2857197,20619098.41269921,-159798012.6984189,7732161.904762204,19330404.76190551,12886936.50793701
"Latvia, Republic of",2007,1,US dollar,638255351.5624996,2151982109.374999,127126835.9374999,526855546.8749998,1495378554.687499,-399728710.9374998,197898476.5624999,217557265.6249999,60286953.12499997,157270312.4999999,73392812.49999997,19658789.06249999,-13105859.37499999
"Latvia, Republic of",2007,2,US dollar,103806680.6451598,1234895058.064499,308723764.5161246,1104125603.225791,718557932.2580543,-795401838.709666,221094748.3870936,291197961.2903184,-79540183.8709666,370738145.161285,-55273687.0967734,71451351.6129022,-25614635.4838706
"Latvia, Republic of",2007,3,US dollar,1344978816.923047,2685836146.153787,206074384.6153801,659438030.7692163,1685688466.153809,-453363646.1538362,119523143.0769204,164859507.6923041,-9616804.615384404,174476312.3076885,-10990633.8461536,45336364.61538362,1373829.230769201
"Latvia, Republic of",2007,4,US dollar,1757161276.562499,2367025165.624999,127477487.4999999,422993481.2499998,2113518798.437499,-295515993.7499999,-98505331.24999996,-63738743.74999997,-21729117.18749999,-42009626.56249998,-46355449.99999998,34766587.49999998,24626332.81249999
"Latvia, Republic of",2008,1,US dollar,-1358326125.806496,-649959800.000021,91353796.7741965,636481370.9677625,-938997222.5806756,-545127574.193566,59904129.03226,-70387351.6129055,573582035.4838895,-643969387.096795,575079638.709696,-131789083.870972,-1497603.2258065
"Latvia, Republic of",2008,2,US dollar,792041737.4999995,1998069787.499999,221834174.9999999,637382699.9999996,1366935937.499999,-415548524.9999998,209336474.9999999,179654437.4999999,-182778862.4999999,362433299.9999998,-182778862.4999999,-29682037.49999998,0
"Latvia, Republic of",2008,3,US dollar,-734451090.9090778,514717772.7272635,132441999.9999976,474082159.0909006,-281439249.999995,-341640159.090903,124916886.3636341,-10535159.0909089,31605477.27272671,-42140636.36363561,34615522.72727211,-136957068.1818157,-3010045.454545401
"Latvia, Republic of",2008,4,US dollar,162108042.1875001,-1078084378.125,-102800221.875,-313672471.8750001,333441745.3125001,210872250,-200328637.5,-336077648.4375001,-299175004.6875001,-36902643.75000001,-254364651.5625001,-134431059.375,-44810353.12500001
"Latvia, Republic of",2009,1,US dollar,-912002222.22221,-2453285977.777746,-35177228.5714281,24754346.0317457,-557624215.8730084,-59931574.6031738,-106834546.0317446,-67748736.5079356,-7817161.9047618,-59931574.6031738,-11725742.8571427,39085809.523809,3908580.9523809
"Latvia, Republic of",2009,2,US dollar,417135745.1612843,-971953549.999986,-175851343.5483846,-308080648.3870924,969227172.5806313,132229304.8387078,-70885812.9032248,-109055096.774192,-32716529.0322576,-76338567.74193439,-24537396.7741932,-38169283.8709672,-8179132.258064399
"Latvia, Republic of",2009,3,US dollar,151612281.818177,-306085172.727263,55781877.2727255,124436495.4545415,247442686.3636285,-68654618.181816,-35757613.6363625,37187918.181817,-20024263.636363,57212181.81818,22884872.727272,74375836.36363399,-42909136.363635
"Latvia, Republic of",2009,4,US dollar,628125807.6923177,-433037321.5384685,-38426520.00000062,8867658.461538604,421213776.9230837,-47294178.46153922,-109367787.6923094,-17735316.92307721,72419210.76923193,-90154527.69230914,32514747.69230821,90154527.69230914,39904463.07692372
"Latvia, Republic of",2010,1,US dollar,-565609346.0317315,-1474179860.317422,129993346.0317427,30423974.60317382,-619542755.5555396,99569371.42856888,-98186463.49206096,-12446171.42857111,1382907.936507901,-13829079.36507901,1382907.936507901,85740292.06348985,-1382907.936507901
"Latvia, Republic of",2010,2,US dollar,-230005893.6507949,-542610588.8888919,-41934776.19047642,77515798.41269884,-36851773.01587322,-119450574.6031753,-85140303.17460366,-8895255.555555604,20332012.69841281,-29227268.25396842,12707507.93650801,76245047.61904804,7624504.761904804
"Latvia, Republic of",2010,3,US dollar,50350536.36363663,-277573469.6969711,55514693.93939423,202693184.8484859,-19365590.90909101,-147178490.9090917,114902506.0606067,144596412.1212129,19365590.90909101,125230821.2121219,5164157.575757603,30984945.45454562,14201433.33333341
"Latvia, Republic of",2010,4,US dollar,1595966893.939397,1359627966.666669,-40748090.90909099,164350633.3333337,1462856463.636367,-205098724.2424246,84212721.21212138,187441218.1818186,-62480406.06060618,249921624.2424247,-62480406.06060618,101870227.2727275,0
"Latvia, Republic of",2011,1,US dollar,-523939810.9374997,-1016415873.437499,15047879.68749999,392612860.9374997,-722298224.9999995,-377564981.2499998,433652532.8124997,528043778.1249997,-162790698.4374999,690834476.5624995,-164158687.4999999,95759234.37499994,1367989.062499999
