COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities"
Suriname,2005,1,US dollar,-380597.014925414,NA,100000,3319402.98507459,3600000
Suriname,2005,2,US dollar,39933886.1249309,NA,0,15533886.1249309,-24400000
Suriname,2005,3,US dollar,-63048148.1481482,NA,900000,-66748148.1481482,-4600000
Suriname,2005,4,US dollar,-52870370.3703704,NA,1000000,-54470370.3703704,-2600000
Suriname,2006,1,US dollar,49510000,0,100000,73510000,23900000
Suriname,2006,2,US dollar,3119999.99999999,0,200000,51520000,48200000
Suriname,2006,3,US dollar,27900000,0,-100000,91600000,63800000
Suriname,2006,4,US dollar,11270000,0,100000,38870000,27500000
Suriname,2007,1,US dollar,19245000,0,-100000,71845000.00000004,52700000
Suriname,2007,2,US dollar,30295000,0,0,113495000,83200000
Suriname,2007,3,US dollar,42465000,0,2800000,108565000,63300000
Suriname,2007,4,US dollar,26325000,0,-1400000,72425000.00000004,47500000
Suriname,2008,1,US dollar,-8430000,0,3300000,54370000,59500000
Suriname,2008,2,US dollar,-52850000,0,700000,27450000,79600000
Suriname,2008,3,US dollar,-93550000,0,4900000,-16550000,72100000
Suriname,2008,4,US dollar,-45220000,0,8000000,-17020000,20200000
Suriname,2009,1,US dollar,-7095000,0,1900000,-10295000,-5100000
Suriname,2009,2,US dollar,47155000,0,4300000,60455000,9000000
Suriname,2009,3,US dollar,-93605000,0,-8300000,-52268490.8583217,49400000
Suriname,2009,4,US dollar,90605000,0,12900000,143605000,40100000
Suriname,2010,1,US dollar,37700000,0,300000,102200000,64200000
Suriname,2010,2,US dollar,90220000,0,-2200000,146720000,58700000
Suriname,2010,3,US dollar,36280000,0,-9000000,89980000,62700000
Suriname,2010,4,US dollar,77700000,0,22900000,170700000,70100000
Suriname,2011,1,US dollar,107360379.541026,0,1800000,155754069.991026,46593690.45
Suriname,2011,2,US dollar,92755539.1925919,0,300000,62245415.99259203,-30810123.2
Suriname,2011,3,US dollar,35606869.1543417,0,-1400000,-13968787.0956583,-48175656.25
