"COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","1999-Q1","-95500000","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","1999-Q2","73500000","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","1999-Q3","126000000","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","1999-Q4","171300000","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2000-Q1","91740064.61538378","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2000-Q2","121315790.3225844","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2000-Q3","51598592.30769465","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2000-Q4","36468666.66666712","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2001-Q1","-195721712.5000004","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2001-Q2","90741845.161292","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2001-Q3","8012436.923077209","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2001-Q4","174696476.1904832","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2002-Q1","97302241.93547879","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2002-Q2","45022055.5555575","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2002-Q3","-11805018.18181801","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2002-Q4","257835524.9999998","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2003-Q1","3219414.2857143","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2003-Q2","135331598.3870915","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2003-Q3","191209303.0303021","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2003-Q4","256820962.5","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2004-Q1","348673275.0000001","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2004-Q2","167440503.174598","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2004-Q3","654985503.0303142","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2004-Q4","354266309.0909124","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2005-Q1","-104903741.93548","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2005-Q2","-197721210.7692357","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2005-Q3","-241544399.9999976","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2005-Q4","382661278.1249998","Millions"
"Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","2006-Q1","-266910941.5384531","Millions"
